,Weat,Weates,RND,RIPA,RNSB,ECT,"[theta,neighbour]"
0,0.15371270721390476,0.632211023877924,0.06530624479331466,0.014559925,0.06530624479331466,0.48832008017761547,"[0.02, 100]"
1,0.05518710213049721,0.21775197318810172,0.012947999865861398,0.0087513225,0.012947999865861398,0.7029151224841691,"[0.1, 50]"
2,0.04593229916925867,0.27800444674646657,0.015910471145912396,0.008178918,0.015910471145912396,0.8334625845791631,"[0.02, 100]"
3,0.08988650469284315,0.45135807435564307,0.012770097599324392,0.015399606,0.012770097599324392,0.9241256237001759,"[0.05, 200]"
4,0.094105295225235,0.4449392144477571,0.023080193234895633,0.021577468,0.023080193234895633,0.6488817253438702,"[0.1, 50]"
5,0.049968325411877616,0.4681858518025203,0.01281673932198612,0.017662484,0.01281673932198612,0.8575640358001481,"[0.1, 50]"
6,0.04169736536380644,0.2982584559829294,0.021686231746784915,0.010258196,0.021686231746784915,0.809615398856005,"[0.02, 100]"
7,0.07447363533613435,0.4985643716988492,0.022570997079559018,0.025240183,0.022570997079559018,0.5713342244699814,"[0.05, 50]"
8,0.06720374280004893,0.40561372877887714,0.011381439946360561,0.01193479,0.011381439946360561,0.913140432739003,"[0.02, 100]"
9,0.09693434680594418,0.5176740032213171,0.02107321584631224,0.013453223,0.02107321584631224,0.7603748524936366,"[0.02, 200]"
