,Metric,Value,"[theta,neighbour]"
3,RNSB,0.02501780113124914,"[0.02, 50]"
4,RND,0.01638410605406747,"[0.02, 50]"
5,RIPA,0.01731223799288273,"[0.02, 50]"
0,WEAT,0.07016957972379313,"[0.05, 50]"
1,WEATES,0.5067588960202037,"[0.05, 50]"
2,ECT,0.8634268596128015,"[0.05, 50]"
3,RNSB,0.02270884807587539,"[0.05, 50]"
4,RND,0.0178520107118113,"[0.05, 50]"
5,RIPA,0.01859361119568348,"[0.05, 50]"
0,WEAT,0.06401430913734495,"[0.1, 50]"
1,WEATES,0.5058057135518574,"[0.1, 50]"
2,ECT,0.866973230343774,"[0.1, 50]"
3,RNSB,0.02134364223297285,"[0.1, 50]"
4,RND,0.019067119372884748,"[0.1, 50]"
5,RIPA,0.019357886165380478,"[0.1, 50]"
0,WEAT,0.06205161677507925,"[0.02, 100]"
1,WEATES,0.38092357815263667,"[0.02, 100]"
2,ECT,0.8481063133880751,"[0.02, 100]"
3,RNSB,0.02793015513211775,"[0.02, 100]"
4,RND,0.015815013622208076,"[0.02, 100]"
5,RIPA,0.01655457727611065,"[0.02, 100]"
0,WEAT,0.07230125970628604,"[0.05, 100]"
1,WEATES,0.5155581283570932,"[0.05, 100]"
2,ECT,0.8797898644270222,"[0.05, 100]"
3,RNSB,0.017726598275552195,"[0.05, 100]"
4,RND,0.017896374694917862,"[0.05, 100]"
5,RIPA,0.018037306144833565,"[0.05, 100]"
0,WEAT,0.060207988360679324,"[0.1, 100]"
1,WEATES,0.45166627710315416,"[0.1, 100]"
2,ECT,0.8788319577321523,"[0.1, 100]"
3,RNSB,0.01739501660031333,"[0.1, 100]"
4,RND,0.01802697201012867,"[0.1, 100]"
5,RIPA,0.018192753195762634,"[0.1, 100]"
0,WEAT,0.06454002003088777,"[0.02, 200]"
1,WEATES,0.40712138881420196,"[0.02, 200]"
2,ECT,0.8448999654451614,"[0.02, 200]"
3,RNSB,0.02372211915801087,"[0.02, 200]"
4,RND,0.014918225760494126,"[0.02, 200]"
5,RIPA,0.016154224053025246,"[0.02, 200]"
0,WEAT,0.0645634365584943,"[0.05, 200]"
1,WEATES,0.4242171838403751,"[0.05, 200]"
2,ECT,0.8790739640534543,"[0.05, 200]"
3,RNSB,0.022565390181755823,"[0.05, 200]"
4,RND,0.017966093998913992,"[0.05, 200]"
5,RIPA,0.01852104812860489,"[0.05, 200]"
0,WEAT,0.05757606706213545,"[0.1, 200]"
1,WEATES,0.4171747502392402,"[0.1, 200]"
2,ECT,0.8621171633403383,"[0.1, 200]"
3,RNSB,0.021535474179223607,"[0.1, 200]"
4,RND,0.018601923666335955,"[0.1, 200]"
5,RIPA,0.019277658313512802,"[0.1, 200]"
0,WEAT,0.11037286654551633,"[0.02, 50]"
1,WEATES,0.5569236365615227,"[0.02, 50]"
2,ECT,0.7409262693826473,"[0.02, 50]"
