,Metric,Value,"[theta,neighbour]"
1,WEATES,0.6874452596609091,"[0.1, 100]"
2,ECT,0.49003184717425885,"[0.1, 100]"
3,RNSB,0.04402271185131442,"[0.1, 100]"
4,RND,0.023611074814977737,"[0.1, 100]"
5,RIPA,0.030250370502471924,"[0.1, 100]"
0,WEAT,0.11467169124412283,"[0.02, 200]"
1,WEATES,0.7248240936606941,"[0.02, 200]"
2,ECT,0.6019863865347186,"[0.02, 200]"
3,RNSB,0.03576281310194544,"[0.02, 200]"
4,RND,0.020186411867004875,"[0.02, 200]"
5,RIPA,0.021194929257035255,"[0.02, 200]"
0,WEAT,0.10039732899678946,"[0.05, 200]"
1,WEATES,0.6421418367145798,"[0.05, 200]"
2,ECT,0.5538606165387511,"[0.05, 200]"
3,RNSB,0.050452418270248045,"[0.05, 200]"
4,RND,0.020841744828858186,"[0.05, 200]"
5,RIPA,0.027347669005393982,"[0.05, 200]"
0,WEAT,0.09999801351704672,"[0.1, 200]"
1,WEATES,0.6571111834202236,"[0.1, 200]"
2,ECT,0.5087478869090555,"[0.1, 200]"
3,RNSB,0.04674768309665554,"[0.1, 200]"
4,RND,0.023317079166392873,"[0.1, 200]"
5,RIPA,0.029479339718818665,"[0.1, 200]"
0,WEAT,0.04870767401483571,"[0.02, 50]"
1,WEATES,0.2964519357969236,"[0.02, 50]"
2,ECT,0.861672378937436,"[0.02, 50]"
3,RNSB,0.022319256643694944,"[0.02, 50]"
4,RND,0.012941395704114353,"[0.02, 50]"
5,RIPA,0.01316241454333067,"[0.02, 50]"
0,WEAT,0.058365227415043984,"[0.05, 50]"
1,WEATES,0.3909352237206977,"[0.05, 50]"
2,ECT,0.9052642668109615,"[0.05, 50]"
3,RNSB,0.017484053565401378,"[0.05, 50]"
4,RND,0.015018027319753852,"[0.05, 50]"
5,RIPA,0.0142716309055686,"[0.05, 50]"
0,WEAT,0.05509381849380547,"[0.1, 50]"
1,WEATES,0.3728880617503147,"[0.1, 50]"
2,ECT,0.9001934919620314,"[0.1, 50]"
3,RNSB,0.025171590914164408,"[0.1, 50]"
4,RND,0.015437437567904813,"[0.1, 50]"
5,RIPA,0.014112614095211029,"[0.1, 50]"
0,WEAT,0.047089157547485876,"[0.02, 100]"
1,WEATES,0.2671801431239164,"[0.02, 100]"
2,ECT,0.8770158299751936,"[0.02, 100]"
3,RNSB,0.023160166928511073,"[0.02, 100]"
4,RND,0.012054452763536545,"[0.02, 100]"
5,RIPA,0.012363079003989697,"[0.02, 100]"
0,WEAT,0.05957396449625449,"[0.05, 100]"
1,WEATES,0.3658059002443296,"[0.05, 100]"
2,ECT,0.8995002174791207,"[0.05, 100]"
3,RNSB,0.020082461915143734,"[0.05, 100]"
4,RND,0.013296419825574085,"[0.05, 100]"
5,RIPA,0.012647416442632675,"[0.05, 100]"
0,WEAT,0.053197296389869066,"[0.1, 100]"
1,WEATES,0.34577930086513403,"[0.1, 100]"
2,ECT,0.913643343835866,"[0.1, 100]"
3,RNSB,0.020315465549147642,"[0.1, 100]"
4,RND,0.0147660800316739,"[0.1, 100]"
5,RIPA,0.0134780528023839,"[0.1, 100]"
0,WEAT,0.05015722814529042,"[0.02, 200]"
1,WEATES,0.31715721537303543,"[0.02, 200]"
2,ECT,0.7706389667495381,"[0.02, 200]"
3,RNSB,0.027086725463004203,"[0.02, 200]"
4,RND,0.012366338624758532,"[0.02, 200]"
5,RIPA,0.01299557089805603,"[0.02, 200]"
0,WEAT,0.05866321875151587,"[0.05, 200]"
1,WEATES,0.3540680141419532,"[0.05, 200]"
2,ECT,0.8755174736612171,"[0.05, 200]"
3,RNSB,0.018148016790773342,"[0.05, 200]"
4,RND,0.012503462925071178,"[0.05, 200]"
5,RIPA,0.012067832984030247,"[0.05, 200]"
0,WEAT,0.0514803960391008,"[0.1, 200]"
1,WEATES,0.3413330611876641,"[0.1, 200]"
2,ECT,0.899143839170791,"[0.1, 200]"
3,RNSB,0.021531623126141302,"[0.1, 200]"
4,RND,0.01480307108755711,"[0.1, 200]"
5,RIPA,0.013943786732852459,"[0.1, 200]"
0,WEAT,0.13050161911811436,"[0.02, 50]"
1,WEATES,0.6894419812073407,"[0.02, 50]"
2,ECT,0.7609813594097562,"[0.02, 50]"
3,RNSB,0.037088150191347494,"[0.02, 50]"
4,RND,0.027587770954813223,"[0.02, 50]"
5,RIPA,0.018920013681054115,"[0.02, 50]"
0,WEAT,0.13020614517653264,"[0.05, 50]"
1,WEATES,0.7271847967334881,"[0.05, 50]"
2,ECT,0.7845310167935055,"[0.05, 50]"
3,RNSB,0.036294807833633556,"[0.05, 50]"
4,RND,0.02672346422171434,"[0.05, 50]"
5,RIPA,0.018190043047070503,"[0.05, 50]"
0,WEAT,0.11388718327683875,"[0.1, 50]"
1,WEATES,0.7041993104210155,"[0.1, 50]"
2,ECT,0.7754598764189385,"[0.1, 50]"
3,RNSB,0.03820632394541693,"[0.1, 50]"
4,RND,0.024936075066873783,"[0.1, 50]"
5,RIPA,0.014967427588999271,"[0.1, 50]"
0,WEAT,0.1148518524997795,"[0.02, 100]"
1,WEATES,0.6138089228237318,"[0.02, 100]"
2,ECT,0.7815643438457932,"[0.02, 100]"
3,RNSB,0.02872924919379344,"[0.02, 100]"
4,RND,0.025334701971745036,"[0.02, 100]"
5,RIPA,0.016678014770150185,"[0.02, 100]"
0,WEAT,0.12233534396028355,"[0.05, 100]"
1,WEATES,0.6877739173214675,"[0.05, 100]"
2,ECT,0.808974715009244,"[0.05, 100]"
3,RNSB,0.03975922784593579,"[0.05, 100]"
4,RND,0.02525313521457544,"[0.05, 100]"
5,RIPA,0.016357596963644028,"[0.05, 100]"
0,WEAT,0.1160328133884643,"[0.1, 100]"
1,WEATES,0.7196396571907338,"[0.1, 100]"
2,ECT,0.769846228907003,"[0.1, 100]"
3,RNSB,0.03825720280201347,"[0.1, 100]"
4,RND,0.024767118769993088,"[0.1, 100]"
5,RIPA,0.014745677821338177,"[0.1, 100]"
0,WEAT,0.11653188716298173,"[0.02, 200]"
1,WEATES,0.6229668078628897,"[0.02, 200]"
2,ECT,0.7567545575728537,"[0.02, 200]"
3,RNSB,0.022429501039643022,"[0.02, 200]"
4,RND,0.024516355989112292,"[0.02, 200]"
5,RIPA,0.015416555106639862,"[0.02, 200]"
0,WEAT,0.11638282766739366,"[0.05, 200]"
1,WEATES,0.6612430184026449,"[0.05, 200]"
2,ECT,0.7418497311738393,"[0.05, 200]"
3,RNSB,0.039257817851497415,"[0.05, 200]"
4,RND,0.024823474779818434,"[0.05, 200]"
5,RIPA,0.016364851966500282,"[0.05, 200]"
0,WEAT,0.11871479342495178,"[0.1, 200]"
1,WEATES,0.7125378202649724,"[0.1, 200]"
2,ECT,0.7745090400005297,"[0.1, 200]"
3,RNSB,0.04081737993968258,"[0.1, 200]"
4,RND,0.025307094138279654,"[0.1, 200]"
5,RIPA,0.015912415459752083,"[0.1, 200]"
