,Weat,Weates,RND,RIPA,ECT,RNSB,theta,neighbours
0,0.14516806670843663,0.5910962475267042,0.06371390575315085,0.01297209,0.5272452671007551,0.013816732267676398,0.02,50
0,0.1503796646118502,0.6970993189815259,0.05852844479115246,0.013301107,0.6464876680302026,0.016310965530496387,0.05,50
0,0.14346060986308276,0.7331941959230645,0.05732788949469997,0.013443579,0.6483558249358486,0.011356437205202255,0.1,50
0,0.1359362354354717,0.5621593787923578,0.06651136254286333,0.013498083,0.5656880299972105,0.009665615776316475,0.02,100
0,0.15025904746147967,0.6520805014276742,0.059553800973945165,0.012986891,0.6351824904899956,0.01584740574139645,0.05,100
0,0.15058149577557844,0.7894962622824151,0.058289289988427646,0.013441137,0.6423519220520669,0.012246700387222422,0.1,100
0,0.10608660938568445,0.5798159142152981,0.06646264077610227,0.012190287,0.5607411388542173,0.010859927230839535,0.02,200
0,0.15895404804556817,0.6538854074338935,0.06328992593911531,0.014334277,0.6297956591208403,0.014328400727294698,0.05,200
0,0.1460048802893622,0.678932913978657,0.05924752758159363,0.013205651,0.6724840952927079,0.014449391246060641,0.1,200
1,0.05492972141167786,0.27503240077579394,0.008172595700379537,0.007119158,0.7467934864757565,0.021995995189849616,0.02,50
1,0.055206198655595784,0.2779907163714294,0.008952533177463114,0.0079036895,0.7540539054277563,0.02922246593851535,0.05,50
1,0.04629867342355412,0.22316409843480253,0.009850747041305745,0.006630447,0.7105654786759544,0.0300609362890261,0.1,50
1,0.051055132251268856,0.2604566664433514,0.008641771688093889,0.0066908314,0.7231589141833951,0.01944530670154313,0.02,100
1,0.05265351682587616,0.2648485591672865,0.009099489829772415,0.006602273,0.7573826997674175,0.027900448061533682,0.05,100
1,0.05266543489157627,0.26800932925556253,0.010120681266150127,0.00693943,0.7210804123604887,0.02416277652002899,0.1,100
1,0.04212115987964871,0.2618406678326635,0.008585816711510765,0.0077114278,0.7172792312874784,0.020082809965626384,0.02,200
1,0.06131672890750651,0.3055018633467113,0.008790606788336217,0.007111209,0.7538958130627363,0.02846493895607607,0.05,200
1,0.060307986931117066,0.30966422375564123,0.009276592309825278,0.007581512,0.7272879445067604,0.031030352816282306,0.1,200
2,0.03092290772897794,0.15653240099131432,0.01193412358961006,0.005636163,0.8662562223594065,0.012436725234521443,0.02,50
2,0.037442709400131974,0.1646105221320102,0.01205531391435123,0.008850145,0.8427268179724775,0.010643405554001674,0.05,50
2,0.05233908866275125,0.31644356703679394,0.014616665229913539,0.010462012,0.8556520719961204,0.011456598053402533,0.1,50
2,0.03756102611598184,0.21715360774373446,0.013109952474491586,0.0062918775,0.8240970257931993,0.011514588491557608,0.02,100
2,0.03877504076784234,0.2151345434850994,0.012273239460000087,0.00912358,0.8510891065659356,0.013043545460054711,0.05,100
2,0.04475560008466372,0.2464056921428161,0.01374548731897912,0.0106428275,0.8607003695967709,0.011565140356391055,0.1,100
2,0.038075853609022006,0.2685695299100583,0.011659715987783361,0.0067192684,0.7711176078726316,0.013277330849061858,0.02,200
2,0.04861806742869902,0.3030348971500438,0.012535779561539956,0.008999224,0.8439797960778962,0.01121795148433988,0.05,200
2,0.040694400194144074,0.22137487815492718,0.013096793216267395,0.009766617,0.8515957737813139,0.015079346082952914,0.1,200
3,0.07840931322343139,0.42345370288734374,0.01146042481812755,0.013839328,0.9018334921061797,0.01283105370825637,0.02,50
3,0.0861499382516328,0.6048174423511143,0.011245556779657865,0.016295256,0.925010022137975,0.01164922165028989,0.05,50
3,0.08213823862981023,0.5719847937617105,0.009820141486540356,0.018483127,0.926377272399001,0.00878647724186067,0.1,50
3,0.08182274600420802,0.4686481065022842,0.012063374539943059,0.014112454,0.8999833479590941,0.010990335316497813,0.02,100
3,0.08549454340131253,0.5210593365753597,0.011777034842009667,0.015212599,0.9443614799273122,0.014037988703828054,0.05,100
3,0.08264287719712358,0.5533931523250535,0.009994122061762516,0.018098986,0.9158894208165345,0.010105561847402009,0.1,100
3,0.08208790031757515,0.5211473859764065,0.012282932381192524,0.013787393,0.8607507032031404,0.009839368889219671,0.02,200
3,0.08619280484288055,0.4594633937314071,0.012684867160255539,0.01633777,0.91454077538729,0.008774950889270178,0.05,200
3,0.07832507138276375,0.5094881289101959,0.0107383954836811,0.016829794,0.9287234708082169,0.007883005012645104,0.1,200
4,0.10323266948808751,0.4165931096866801,0.02307726555954685,0.013289151,0.6666762382119233,0.01913188378303367,0.02,50
4,0.08468794196451238,0.3913833363755799,0.019898580879857287,0.017051196,0.6613647901311538,0.015725454700674955,0.05,50
4,0.0817473631299647,0.40304033292514213,0.019099679494097844,0.018340042,0.5991095593524401,0.015120991546945666,0.1,50
4,0.11668473629839102,0.41913384863521647,0.02763425849118677,0.012356148,0.5824324281056062,0.017510940631048487,0.02,100
