,Metric,Value,"[theta,neighbour]"
5,RIPA,0.017685895785689354,"[0.05, 100]"
0,WEAT,0.13709144202976517,"[0.1, 100]"
1,WEATES,0.6262791290727056,"[0.1, 100]"
2,ECT,0.6376044748793595,"[0.1, 100]"
3,RNSB,0.013149838711404713,"[0.1, 100]"
4,RND,0.02723023066359713,"[0.1, 100]"
5,RIPA,0.018542475998401642,"[0.1, 100]"
0,WEAT,0.14222056788482504,"[0.02, 200]"
1,WEATES,0.6404046646776721,"[0.02, 200]"
2,ECT,0.6190329717948381,"[0.02, 200]"
3,RNSB,0.007911734605780396,"[0.02, 200]"
4,RND,0.02980020770129489,"[0.02, 200]"
5,RIPA,0.015899738296866417,"[0.02, 200]"
0,WEAT,0.15441264309134156,"[0.05, 200]"
1,WEATES,0.6934476365679022,"[0.05, 200]"
2,ECT,0.67445095761911,"[0.05, 200]"
3,RNSB,0.014928186876952293,"[0.05, 200]"
4,RND,0.031205703597934172,"[0.05, 200]"
5,RIPA,0.01923277974128723,"[0.05, 200]"
0,WEAT,0.13429172742134157,"[0.1, 200]"
1,WEATES,0.5869988305816344,"[0.1, 200]"
2,ECT,0.6366801389959981,"[0.1, 200]"
3,RNSB,0.012935903272289578,"[0.1, 200]"
4,RND,0.027544348354524642,"[0.1, 200]"
5,RIPA,0.01797541044652462,"[0.1, 200]"
0,WEAT,0.04806399796735875,"[0.02, 50]"
1,WEATES,0.37634876200820816,"[0.02, 50]"
2,ECT,0.8439481369919837,"[0.02, 50]"
3,RNSB,0.016159414485342524,"[0.02, 50]"
4,RND,0.012108567721387672,"[0.02, 50]"
5,RIPA,0.008158002980053425,"[0.02, 50]"
0,WEAT,0.039201106506141496,"[0.05, 50]"
1,WEATES,0.3283194376906135,"[0.05, 50]"
2,ECT,0.8477473911696863,"[0.05, 50]"
3,RNSB,0.018480722670654447,"[0.05, 50]"
4,RND,0.010322254781549522,"[0.05, 50]"
5,RIPA,0.010151089169085026,"[0.05, 50]"
0,WEAT,0.039629304060426106,"[0.1, 50]"
1,WEATES,0.3392652987330344,"[0.1, 50]"
2,ECT,0.8480976445514395,"[0.1, 50]"
3,RNSB,0.019692701540629565,"[0.1, 50]"
4,RND,0.010401997131588354,"[0.1, 50]"
5,RIPA,0.01095563918352127,"[0.1, 50]"
0,WEAT,0.04524125098683627,"[0.02, 100]"
1,WEATES,0.37842585228628706,"[0.02, 100]"
2,ECT,0.8051295843363131,"[0.02, 100]"
3,RNSB,0.020262957576482787,"[0.02, 100]"
4,RND,0.012789633770053077,"[0.02, 100]"
5,RIPA,0.007692505139857531,"[0.02, 100]"
0,WEAT,0.041691973531149125,"[0.05, 100]"
1,WEATES,0.33571766371951783,"[0.05, 100]"
2,ECT,0.8419949948019799,"[0.05, 100]"
3,RNSB,0.021511384045315142,"[0.05, 100]"
4,RND,0.010674883523714417,"[0.05, 100]"
