,Weat,Weates,RND,RIPA,RNSB,ECT,"[theta,neighbour]"
0,0.14559100609485037,0.6932115297523597,0.05952757562766214,0.014434119,0.05952757562766214,0.634403975030137,"[0.1, 50]"
1,0.08644250645689222,0.350222957802885,0.013466580962209781,0.009128851,0.013466580962209781,0.6962824108262642,"[0.02, 50]"
2,0.047994953459538796,0.264033258743911,0.015042868642250016,0.009662212,0.015042868642250016,0.7338065889561675,"[0.02, 200]"
3,0.05478994357128899,0.38548606794502344,0.008932190729246912,0.018062903,0.008932190729246912,0.9409901144623941,"[0.1, 50]"
4,0.09976891943871803,0.4714874265998858,0.023382391796012886,0.020297255,0.023382391796012886,0.6568102532253981,"[0.1, 100]"
5,0.050147541633374,0.4465326462521048,0.011360603259618407,0.014023326,0.011360603259618407,0.86279052886873,"[0.05, 100]"
6,0.05397614899019658,0.419696594474053,0.020815977366234594,0.012001444,0.020815977366234594,0.8108788145837317,"[0.02, 50]"
7,0.10635016480754374,0.6787568864051992,0.024935776118872,0.021029733,0.024935776118872,0.6302888523539912,"[0.02, 50]"
8,0.06720374280004893,0.40561372877887714,0.011381439946360561,0.01193479,0.011381439946360561,0.913140432739003,"[0.02, 100]"
9,0.09693434680594418,0.5176740032213171,0.02107321584631224,0.013453223,0.02107321584631224,0.7603748524936366,"[0.02, 200]"
