,Metric,Value,"[theta,neighbour]"
0,WEAT,0.1132410574854675,"[0.05, 50]"
1,WEATES,0.4904102465844911,"[0.05, 50]"
2,ECT,0.6804961125236891,"[0.05, 50]"
3,RNSB,0.014469444007149642,"[0.05, 50]"
4,RND,0.023321058471304223,"[0.05, 50]"
5,RIPA,0.016286805272102356,"[0.05, 50]"
0,WEAT,0.12112730440327268,"[0.1, 50]"
1,WEATES,0.548060429208917,"[0.1, 50]"
2,ECT,0.6315982682056862,"[0.1, 50]"
3,RNSB,0.01521884657620724,"[0.1, 50]"
4,RND,0.022763178266188972,"[0.1, 50]"
5,RIPA,0.017410853877663612,"[0.1, 50]"
0,WEAT,0.1255806096544578,"[0.02, 100]"
1,WEATES,0.5553254810184006,"[0.02, 100]"
2,ECT,0.694108688317293,"[0.02, 100]"
3,RNSB,0.01271483575938844,"[0.02, 100]"
4,RND,0.02793218461785983,"[0.02, 100]"
5,RIPA,0.013870018534362316,"[0.02, 100]"
0,WEAT,0.11836314169964178,"[0.05, 100]"
1,WEATES,0.5066992854061897,"[0.05, 100]"
2,ECT,0.6660282147821882,"[0.05, 100]"
3,RNSB,0.015409702844763853,"[0.05, 100]"
4,RND,0.025263413908218475,"[0.05, 100]"
5,RIPA,0.014967702329158783,"[0.05, 100]"
0,WEAT,0.12397040855671755,"[0.1, 100]"
1,WEATES,0.5697241321642641,"[0.1, 100]"
2,ECT,0.6554630742476908,"[0.1, 100]"
3,RNSB,0.013083338617330978,"[0.1, 100]"
4,RND,0.02372580143462961,"[0.1, 100]"
5,RIPA,0.0163381677120924,"[0.1, 100]"
0,WEAT,0.12604092297288522,"[0.02, 200]"
1,WEATES,0.515584037162622,"[0.02, 200]"
2,ECT,0.6556437841352498,"[0.02, 200]"
3,RNSB,0.014416098485714417,"[0.02, 200]"
4,RND,0.02875701523909975,"[0.02, 200]"
5,RIPA,0.013400089927017689,"[0.02, 200]"
0,WEAT,0.12793130125335836,"[0.05, 200]"
1,WEATES,0.5316053245382908,"[0.05, 200]"
2,ECT,0.6924515979510613,"[0.05, 200]"
3,RNSB,0.016662158633208676,"[0.05, 200]"
4,RND,0.027228358363114588,"[0.05, 200]"
5,RIPA,0.014035139232873917,"[0.05, 200]"
0,WEAT,0.12220744224993405,"[0.1, 200]"
1,WEATES,0.5651578056841057,"[0.1, 200]"
2,ECT,0.6654115788333228,"[0.1, 200]"
3,RNSB,0.013019913480800508,"[0.1, 200]"
4,RND,0.024293105109321065,"[0.1, 200]"
5,RIPA,0.01548038050532341,"[0.1, 200]"
0,WEAT,0.04122318538407936,"[0.02, 50]"
1,WEATES,0.35229531563277316,"[0.02, 50]"
2,ECT,0.7550940170096104,"[0.02, 50]"
3,RNSB,0.01543203247967442,"[0.02, 50]"
4,RND,0.012773989056633009,"[0.02, 50]"
5,RIPA,0.011104024946689606,"[0.02, 50]"
0,WEAT,0.030004632961862645,"[0.05, 50]"
1,WEATES,0.313651977597384,"[0.05, 50]"
2,ECT,0.8575411668724006,"[0.05, 50]"
3,RNSB,0.01710872110220624,"[0.05, 50]"
4,RND,0.01181762006933674,"[0.05, 50]"
