,Weat,Weates,RND,RIPA,RNSB,ECT,"[theta,neighbour]"
0,0.15065415265265408,0.6782803640799617,0.061362488661103144,0.0141604515,0.061362488661103144,0.642136464720182,"[0.1, 200]"
1,0.08644250645689222,0.350222957802885,0.013466580962209781,0.009128851,0.013466580962209781,0.6962824108262642,"[0.02, 50]"
2,0.04038237733440415,0.245520314620598,0.01863480229435181,0.010233522,0.01863480229435181,0.8895320435423182,"[0.05, 50]"
3,0.06344409849089325,0.4388946245863408,0.009352077479903548,0.017005334,0.009352077479903548,0.9339215608611227,"[0.1, 200]"
4,0.12931332158148548,0.533610693283547,0.02785199084733,0.014822108,0.02785199084733,0.7658820293523267,"[0.02, 100]"
5,0.04523859940572039,0.4223094390453812,0.012217549649387758,0.01634225,0.012217549649387758,0.8674882617633153,"[0.1, 200]"
6,0.061954390746073465,0.45156317909577826,0.020701491132510033,0.014052109,0.020701491132510033,0.8834576312602858,"[0.05, 100]"
7,0.08919372713276313,0.5651190401521134,0.02353891864355402,0.020006062,0.02353891864355402,0.5021931220800727,"[0.05, 200]"
8,0.05957316840292132,0.441899002640759,0.014263184249760747,0.013561565,0.014263184249760747,0.9135576699148635,"[0.1, 100]"
9,0.12443060145090651,0.6186343404976414,0.02437032140130868,0.017090848,0.02437032140130868,0.7722365384855469,"[0.05, 200]"
