,Weat,Weates,RND,RIPA,RNSB,ECT,"[theta,neighbour]"
0,0.11389621585793723,0.5432109489650336,0.06540605263130085,0.0111809755,0.06540605263130085,0.5124865063751792,"[0.02, 200]"
1,0.05518710213049721,0.21775197318810172,0.012947999865861398,0.0087513225,0.012947999865861398,0.7029151224841691,"[0.1, 50]"
2,0.04593229916925867,0.27800444674646657,0.015910471145912396,0.008178918,0.015910471145912396,0.8334625845791631,"[0.02, 100]"
3,0.08313685097479118,0.4707648558330936,0.012355501253188258,0.013662454,0.012355501253188258,0.9017547728480714,"[0.02, 200]"
4,0.09736080321072896,0.4606632942265704,0.02272522443314336,0.020476729,0.02272522443314336,0.6819874607548907,"[0.05, 50]"
5,0.049968325411877616,0.4681858518025203,0.01281673932198612,0.017662484,0.01281673932198612,0.8575640358001481,"[0.1, 50]"
6,0.05397614899019658,0.419696594474053,0.020815977366234594,0.012001444,0.020815977366234594,0.8108788145837317,"[0.02, 50]"
7,0.09200649713330683,0.5517159668183585,0.024014074038522376,0.018191108,0.024014074038522376,0.5925478445934325,"[0.02, 100]"
8,0.06000796795749398,0.44423453276569946,0.013937025196911338,0.013306086,0.013937025196911338,0.9233012985222651,"[0.1, 200]"
9,0.10457005741585564,0.6434972160311884,0.022537625267930985,0.013423309,0.022537625267930985,0.7503362209771121,"[0.1, 50]"
