,Weat,Weates,RND,RIPA,RNSB,ECT,"[theta,neighbour]"
0,0.14559100609485037,0.6932115297523597,0.05952757562766214,0.014434119,0.05952757562766214,0.634403975030137,"[0.1, 50]"
1,0.0778537433365038,0.35196875714326026,0.012891584556588849,0.008240699,0.012891584556588849,0.6332952616882191,"[0.02, 100]"
2,0.04434333366698684,0.2749388657952227,0.017097502248887394,0.009445114,0.017097502248887394,0.8736973834020457,"[0.05, 100]"
3,0.08425700324698043,0.44814384548191183,0.011256160813401243,0.013726431,0.011256160813401243,0.9469385467561954,"[0.02, 50]"
4,0.094105295225235,0.4449392144477571,0.023080193234895633,0.021577468,0.023080193234895633,0.6488817253438702,"[0.1, 50]"
5,0.05777358768561482,0.4771531033014663,0.012597843856411828,0.009250109,0.012597843856411828,0.7452936075982893,"[0.02, 200]"
6,0.04010457133663042,0.28828637636544413,0.022682419167950146,0.010356688,0.022682419167950146,0.8382740863594883,"[0.02, 200]"
7,0.0768378789500773,0.49094839878517854,0.02280703814549616,0.016461575,0.02280703814549616,0.611839990498949,"[0.02, 200]"
8,0.06720374280004893,0.40561372877887714,0.011381439946360561,0.01193479,0.011381439946360561,0.913140432739003,"[0.02, 100]"
9,0.09693434680594418,0.5176740032213171,0.02107321584631224,0.013453223,0.02107321584631224,0.7603748524936366,"[0.02, 200]"
