,Metric,Value,"[theta,neighbour]"
4,RND,0.010218972415254648,"[0.02, 50]"
5,RIPA,0.006385377142578363,"[0.02, 50]"
0,WEAT,0.028813165521190273,"[0.05, 50]"
1,WEATES,0.15660300961703183,"[0.05, 50]"
2,ECT,0.7704982454520707,"[0.05, 50]"
3,RNSB,0.03019018070831255,"[0.05, 50]"
4,RND,0.011860279072242777,"[0.05, 50]"
5,RIPA,0.007166894152760506,"[0.05, 50]"
0,WEAT,0.03513805870498281,"[0.1, 50]"
1,WEATES,0.18449576160832054,"[0.1, 50]"
2,ECT,0.759409075289769,"[0.1, 50]"
3,RNSB,0.026600350037724183,"[0.1, 50]"
4,RND,0.012299120532273146,"[0.1, 50]"
5,RIPA,0.007247556000947952,"[0.1, 50]"
0,WEAT,0.03465291278153925,"[0.02, 100]"
1,WEATES,0.22429066239617979,"[0.02, 100]"
2,ECT,0.7277688126420907,"[0.02, 100]"
3,RNSB,0.020980361338668835,"[0.02, 100]"
4,RND,0.01131500772157771,"[0.02, 100]"
5,RIPA,0.007086686324328184,"[0.02, 100]"
0,WEAT,0.03104958625582799,"[0.05, 100]"
1,WEATES,0.21255130068689024,"[0.05, 100]"
2,ECT,0.7142511042712664,"[0.05, 100]"
3,RNSB,0.024781077635759145,"[0.05, 100]"
4,RND,0.012119384936092598,"[0.05, 100]"
5,RIPA,0.007749683689326048,"[0.05, 100]"
0,WEAT,0.03215875013354308,"[0.1, 100]"
1,WEATES,0.1536891458028622,"[0.1, 100]"
2,ECT,0.7683157659564513,"[0.1, 100]"
3,RNSB,0.02555858724506422,"[0.1, 100]"
4,RND,0.0124163306467757,"[0.1, 100]"
5,RIPA,0.006673596799373627,"[0.1, 100]"
0,WEAT,0.03299009794833444,"[0.02, 200]"
1,WEATES,0.20873851574769064,"[0.02, 200]"
2,ECT,0.7246299983109311,"[0.02, 200]"
3,RNSB,0.021342191116001285,"[0.02, 200]"
4,RND,0.013829780122893211,"[0.02, 200]"
5,RIPA,0.00912704411894083,"[0.02, 200]"
0,WEAT,0.0325206068453405,"[0.05, 200]"
1,WEATES,0.20136044444453732,"[0.05, 200]"
2,ECT,0.773359668062826,"[0.05, 200]"
3,RNSB,0.027465136895982768,"[0.05, 200]"
4,RND,0.011800094836474442,"[0.05, 200]"
5,RIPA,0.00798881333321333,"[0.05, 200]"
0,WEAT,0.04447902508187804,"[0.1, 200]"
1,WEATES,0.23929113095815907,"[0.1, 200]"
2,ECT,0.7786585496935267,"[0.1, 200]"
3,RNSB,0.02741851431722048,"[0.1, 200]"
4,RND,0.01163653608877832,"[0.1, 200]"
5,RIPA,0.006683008745312691,"[0.1, 200]"
0,WEAT,0.060178959284140125,"[0.02, 50]"
1,WEATES,0.31966663473575324,"[0.02, 50]"
2,ECT,0.8081389705332169,"[0.02, 50]"
3,RNSB,0.012610031656260732,"[0.02, 50]"
4,RND,0.015912013279181406,"[0.02, 50]"
5,RIPA,0.009501966647803783,"[0.02, 50]"
0,WEAT,0.05234056774052678,"[0.05, 50]"
1,WEATES,0.2692856776679378,"[0.05, 50]"
2,ECT,0.8777822334555504,"[0.05, 50]"
3,RNSB,0.01456039085956093,"[0.05, 50]"
4,RND,0.01781597573157363,"[0.05, 50]"
5,RIPA,0.010292097926139832,"[0.05, 50]"
0,WEAT,0.050643646615796296,"[0.1, 50]"
1,WEATES,0.31096741534540395,"[0.1, 50]"
2,ECT,0.8293787867854916,"[0.1, 50]"
3,RNSB,0.010902690254693504,"[0.1, 50]"
4,RND,0.01805817395448295,"[0.1, 50]"
5,RIPA,0.011093287728726864,"[0.1, 50]"
0,WEAT,0.052479949007075984,"[0.02, 100]"
1,WEATES,0.25441112811264377,"[0.02, 100]"
2,ECT,0.7800070297296154,"[0.02, 100]"
3,RNSB,0.010766954159535507,"[0.02, 100]"
4,RND,0.014659717144013885,"[0.02, 100]"
5,RIPA,0.008307569660246372,"[0.02, 100]"
0,WEAT,0.06116070285292,"[0.05, 100]"
1,WEATES,0.30123482523966516,"[0.05, 100]"
2,ECT,0.8652365579603786,"[0.05, 100]"
3,RNSB,0.009242031583173214,"[0.05, 100]"
4,RND,0.01607859402189082,"[0.05, 100]"
5,RIPA,0.01091823447495699,"[0.05, 100]"
0,WEAT,0.0499432086339337,"[0.1, 100]"
1,WEATES,0.3152531289782073,"[0.1, 100]"
2,ECT,0.8427033995108206,"[0.1, 100]"
3,RNSB,0.013321729546062007,"[0.1, 100]"
4,RND,0.01832612294247221,"[0.1, 100]"
5,RIPA,0.011496019549667835,"[0.1, 100]"
0,WEAT,0.0467029526595294,"[0.02, 200]"
1,WEATES,0.2736989460204714,"[0.02, 200]"
2,ECT,0.7703427124670655,"[0.02, 200]"
3,RNSB,0.011771957820641804,"[0.02, 200]"
4,RND,0.012382338615255874,"[0.02, 200]"
5,RIPA,0.008175965398550034,"[0.02, 200]"
0,WEAT,0.07321223723192555,"[0.05, 200]"
1,WEATES,0.34915233573769416,"[0.05, 200]"
2,ECT,0.8143096437786927,"[0.05, 200]"
3,RNSB,0.014077820486075561,"[0.05, 200]"
4,RND,0.015014965789777809,"[0.05, 200]"
5,RIPA,0.010892067104578018,"[0.05, 200]"
0,WEAT,0.04975252921257485,"[0.1, 200]"
1,WEATES,0.3024215854918794,"[0.1, 200]"
2,ECT,0.8631190369016549,"[0.1, 200]"
3,RNSB,0.009770878507939701,"[0.1, 200]"
4,RND,0.01831797095354271,"[0.1, 200]"
5,RIPA,0.0113515080884099,"[0.1, 200]"
0,WEAT,0.06081683109000484,"[0.02, 50]"
1,WEATES,0.3285025668618264,"[0.02, 50]"
2,ECT,0.9431805143952224,"[0.02, 50]"
3,RNSB,0.009120870725421188,"[0.02, 50]"
4,RND,0.008683164467228909,"[0.02, 50]"
5,RIPA,0.014372515492141247,"[0.02, 50]"
0,WEAT,0.05835658381356335,"[0.05, 50]"
1,WEATES,0.3285278185823877,"[0.05, 50]"
2,ECT,0.9476601832204872,"[0.05, 50]"
3,RNSB,0.010844372348835927,"[0.05, 50]"
4,RND,0.007798549979342793,"[0.05, 50]"
5,RIPA,0.018988626077771187,"[0.05, 50]"
0,WEAT,0.053964982623437935,"[0.1, 50]"
1,WEATES,0.32976638646539114,"[0.1, 50]"
