,Weat,Weates,RND,RIPA,ECT,RNSB,solver
0,0.16171072768913847,0.7389000194006605,0.061782260689952906,0.016592773,0.5864014905391964,0.013935199762655517,auto
0,0.16171072768913847,0.7389000194006605,0.061782260689952906,0.016592773,0.5864014905391964,0.01578580053149524,full
0,0.16171059127912013,0.7388994363237592,0.061782252176134755,0.016592754,0.5864014636291595,0.013479622875260746,arpack
0,0.16171069515155506,0.7388998615730505,0.061782263445809726,0.016592769,0.5864014800673361,0.01350832435180955,randomized
1,0.05062280579164463,0.21128869850555013,0.01387071882540941,0.008062177,0.7028597089883951,0.02640935786968146,auto
1,0.05062280579164463,0.21128869850555013,0.01387071882540941,0.008062177,0.7028597089883951,0.03027361193623663,full
1,0.050622841013042624,0.21128881601293895,0.013870727210157766,0.00806219,0.702859618683196,0.029844555352211356,arpack
1,0.05062278176334469,0.21128843919935197,0.013870708147440685,0.008062173,0.702859691986219,0.02628422601261386,randomized
2,0.04761879458766157,0.33353514714420535,0.019612493453919605,0.012647859,0.8425379796577075,0.011566534589040254,auto
2,0.04761879458766157,0.33353514714420535,0.019612493453919605,0.012647859,0.8425379796577075,0.012167263061212425,full
2,0.0476190651703914,0.3335367023560873,0.019612524254810717,0.012647874,0.8425379662234932,0.01414409312829215,arpack
2,0.04761887421616359,0.333535574249054,0.0196125050838573,0.012647867,0.8425379796577075,0.011416499248412662,randomized
3,0.05881131049629281,0.3602531364789651,0.010974416892173558,0.0128802,0.9347965670821342,0.013298136869397653,auto
3,0.05881131049629281,0.3602531364789651,0.010974416892173558,0.0128802,0.9347965670821342,0.009594914660422334,full
3,0.05881127803536109,0.36025293999682456,0.010974408016723516,0.012880195,0.9347965663660673,0.009346576256356206,arpack
3,0.058811309700316595,0.3602531099254798,0.010974407220153725,0.012880194,0.9347965633549503,0.010521835583620635,randomized
4,0.0967260469443906,0.4929395738152441,0.02492733716947802,0.019114356,0.5815165052566641,0.016929047698776643,auto
4,0.0967260469443906,0.4929395738152441,0.02492733716947802,0.019114356,0.5815165052566641,0.014076403778233144,full
4,0.09672595707249912,0.4929391341910268,0.024927330514691193,0.01911434,0.581516529857612,0.01591597320961572,arpack
4,0.09672605322732693,0.4929395891723201,0.024927336120522937,0.019114364,0.5815165089438504,0.01558422378456711,randomized
5,0.019342622579671544,0.2009898682683723,0.012630861975406207,0.010588136,0.8282007690807837,0.017804073637706624,auto
5,0.019342622579671544,0.2009898682683723,0.012630861975406207,0.010588136,0.8282007690807837,0.019029274244587703,full
5,0.019342648782403722,0.20099037396467395,0.012630855992351994,0.010588169,0.8282007788610678,0.018751580309067924,arpack
5,0.019342614088571963,0.20098977183491135,0.012630867596373309,0.010588136,0.8282007699374335,0.020882856510684777,randomized
6,0.09179382267247695,0.6541166934363941,0.022768485195646778,0.02579745,0.8385579416491081,0.03701675846251284,auto
6,0.09179382267247695,0.6541166934363941,0.022768485195646778,0.02579745,0.8385579416491081,0.036931266510102236,full
6,0.0917937727860852,0.6541163373144017,0.022768469606265534,0.025797442,0.8385579422708368,0.03668351037222412,arpack
6,0.09179381937817294,0.6541166153082836,0.022768485547891276,0.025797447,0.8385579416491081,0.03577244324315559,randomized
7,0.09690733676010177,0.6546683622601149,0.024159330055613788,0.029422445,0.4733418257196648,0.04378516660789333,auto
7,0.09690733676010177,0.6546683622601149,0.024159330055613788,0.029422445,0.4733418257196648,0.04290032998743056,full
7,0.09690732927986184,0.6546682645489487,0.024159318105876747,0.029422453,0.4733418473297353,0.04453705727132631,arpack
7,0.09690735412949589,0.6546684799675565,0.024159334759112815,0.029422449,0.4733418062225021,0.04179431928117653,randomized
8,0.04924996167873423,0.38787668594561436,0.01892081581618511,0.018322505,0.8619201236583804,0.024319839155533433,auto
8,0.04924996167873423,0.38787668594561436,0.01892081581618511,0.018322505,0.8619201236583804,0.02150788924495218,full
8,0.0492499906937825,0.3878767613357753,0.018920822513071728,0.018322514,0.8619201277002819,0.02001306613244986,arpack
8,0.04925000326806771,0.3878770307939092,0.018920832787284268,0.018322524,0.861920129150982,0.024476512776238905,randomized
9,0.1007076316372231,0.6405074453604584,0.021164332078152878,0.015554696,0.7348409585798965,0.041807223275436685,auto
9,0.1007076316372231,0.6405074453604584,0.021164332078152878,0.015554696,0.7348409585798965,0.04493830248839946,full
9,0.10070762341043091,0.6405073218674174,0.02116433703390604,0.015554703,0.7348409318577568,0.03896557750558818,arpack
9,0.10070763125788464,0.6405073956553161,0.021164333235514993,0.0155547,0.7348409318577568,0.04294787743142172,randomized
