,Weat,Weates,RND,RIPA,ECT,RNSB,solver
0,0.14028541871443137,0.6516027350514033,0.05726085037138782,0.013766062,0.6358392403750257,0.013809337982667553,auto
0,0.14028541871443137,0.6516027350514033,0.05726085037138782,0.013766062,0.6358392403750257,0.0133188026839743,full
0,0.1402854707588162,0.6516030295266565,0.05726084064998834,0.013766072,0.6358392575050124,0.011875775453541267,arpack
0,0.14028541206640682,0.6516026936500982,0.057260849621443954,0.013766062,0.635839454512856,0.015876933325107725,randomized
1,0.07101285876998913,0.32718088122832006,0.0183925445104743,0.0126030715,0.6695802368995257,0.030223959204622085,auto
1,0.07101285876998913,0.32718088122832006,0.0183925445104743,0.0126030715,0.6695802368995257,0.024461858848046466,full
1,0.0710127802741646,0.3271806122067719,0.018392535920188625,0.01260306,0.6695802248794392,0.0268602584931564,arpack
1,0.07101282529943628,0.3271807638725667,0.01839254508999212,0.012603063,0.669580230891507,0.028614096377791106,randomized
2,0.05880166039218805,0.3717969125198907,0.015989957316000506,0.009964316,0.8749173451503851,0.011231472552272864,auto
2,0.05880166039218805,0.3717969125198907,0.015989957316000506,0.009964316,0.8749173451503851,0.009198016814931098,full
2,0.05880179056397265,0.37179780816870683,0.0159899854250487,0.009964321,0.8749172731493462,0.010786821525435275,arpack
2,0.058801688186238085,0.37179705522613365,0.015989961423752346,0.009964317,0.8749173459359216,0.010228915930955573,randomized
3,0.08196373575406386,0.526422797103561,0.011127439165487816,0.017884232,0.9228445864921264,0.01058716867766525,auto
3,0.08196373575406386,0.526422797103561,0.011127439165487816,0.017884232,0.9228445864921264,0.008839737251042276,full
3,0.08196374843677563,0.5264228329592159,0.011127441893931797,0.01788423,0.9228445889851362,0.012719299455361615,arpack
3,0.08196374636864863,0.5264228399265889,0.011127441543449232,0.01788423,0.9228445871414578,0.010105899559323058,randomized
4,0.11921181418226665,0.5955232804927204,0.02364766171908482,0.020074116,0.5571250123324285,0.015856299087506437,auto
4,0.11921181418226665,0.5955232804927204,0.02364766171908482,0.020074116,0.5571250123324285,0.01638369751403436,full
4,0.11921178566378594,0.5955231037147353,0.023647656645578136,0.020074107,0.5571250264901463,0.015874042863293195,arpack
4,0.11921181520710636,0.5955232833319782,0.023647662604882273,0.020074118,0.5571250123324285,0.012883683798319659,randomized
5,0.03836947525725364,0.37366549165658236,0.010353308215820261,0.014080851,0.8587878520505043,0.02265314731564854,auto
5,0.03836947525725364,0.37366549165658236,0.010353308215820261,0.014080851,0.8587878520505043,0.021349594447133215,full
5,0.038369520537084964,0.37366582812784027,0.010353307068901738,0.014080877,0.8587878543545574,0.015986350262989453,arpack
5,0.038369339768025014,0.3736641793090502,0.010353304467746505,0.014080834,0.858787841481118,0.02237705418544802,randomized
6,0.07847586983833535,0.5884285079279267,0.026512990413800588,0.018980993,0.8499364218711736,0.033453858090843475,auto
6,0.07847586983833535,0.5884285079279267,0.026512990413800588,0.018980993,0.8499364218711736,0.03352360721839057,full
6,0.0784759323401841,0.5884285620097768,0.02651297555145014,0.018981019,0.8499364235384671,0.030282056242380888,arpack
6,0.07847590292970436,0.5884286088870603,0.026512999882185594,0.018981,0.849936423648184,0.03292997996096243,randomized
7,0.067239504986097,0.45973923018849067,0.02068177419667309,0.024565749,0.5479830265533076,0.0427703845424281,auto
7,0.067239504986097,0.45973923018849067,0.02068177419667309,0.024565749,0.5479830265533076,0.04472394903828233,full
7,0.06723950073041535,0.4597392693880315,0.02068177678024297,0.024565741,0.5479830455872857,0.05099946886216404,arpack
7,0.06723946715637291,0.45973901520905114,0.02068176398080767,0.024565749,0.5479831591268517,0.04414669511430826,randomized
8,0.04768549005785415,0.4283204161504189,0.01361897269825899,0.011797644,0.8769725799191068,0.022585834231157304,auto
8,0.04768549005785415,0.4283204161504189,0.01361897269825899,0.011797644,0.8769725799191068,0.025887052573688396,full
8,0.04768547528335472,0.4283202429668863,0.013618971828462938,0.01179764,0.8769725775750944,0.020702538447840126,arpack
8,0.04768544253454544,0.4283200414651458,0.013618970208213397,0.011797636,0.876972583670473,0.021479564996266725,randomized
9,0.10594404940028582,0.6722473219047025,0.024501171677189456,0.013321564,0.7409355740969946,0.041681665984749317,auto
9,0.10594404940028582,0.6722473219047025,0.024501171677189456,0.013321564,0.7409355740969946,0.04278882321622458,full
9,0.10594404182135464,0.6722472398170993,0.02450116704773025,0.013321564,0.7409355740969946,0.03646100596753797,arpack
9,0.10594404779554395,0.6722473277175716,0.024501165514036614,0.013321564,0.7409355592330487,0.037384116419157266,randomized
