,Metric,Value,alpha
2,ECT,0.38277199595760997,0
3,RNSB,0.05566657170891015,0
4,RND,0.07189447203726221,0
5,RIPA,0.0751308724284172,0
0,WEAT,0.04391333891964639,10
1,WEATES,0.5469708011259111,10
2,ECT,0.4163991349828768,10
3,RNSB,0.14649690327249396,10
4,RND,0.07182428116351307,10
5,RIPA,0.07284527271986008,10
0,WEAT,0.04434307703825309,30
1,WEATES,0.568003175624853,30
2,ECT,0.4672659689234873,30
3,RNSB,0.19271303650568308,30
4,RND,0.07306843996671349,30
5,RIPA,0.07477722316980362,30
0,WEAT,0.05832824195024355,60
1,WEATES,0.6429496264790416,60
2,ECT,0.49463114529018815,60
3,RNSB,0.18204801182145328,60
4,RND,0.07491018453243929,60
5,RIPA,0.07932005077600479,60
0,WEAT,0.06670015686485833,80
1,WEATES,0.6779081616610492,80
2,ECT,0.5049942586246529,80
3,RNSB,0.20211262514861958,80
4,RND,0.07548851893238956,80
5,RIPA,0.08123372495174408,80
0,WEAT,0.0734599322218779,100
1,WEATES,0.7026572979415987,100
2,ECT,0.5014506617459997,100
3,RNSB,0.23059801818006959,100
4,RND,0.07629122544849802,100
5,RIPA,0.082664355635643,100
0,WEAT,0.04767322946189567,0
1,WEATES,0.45580910531423585,0
2,ECT,0.522215401077517,0
3,RNSB,0.06729179440548229,0
4,RND,0.21000317899766643,0
5,RIPA,0.08699030429124832,0
0,WEAT,0.05694077968738671,10
1,WEATES,0.5210944901219208,10
2,ECT,0.5551117571188581,10
3,RNSB,0.1901287394855483,10
4,RND,0.21184994819881223,10
5,RIPA,0.09962845593690872,10
0,WEAT,0.06668545749400057,30
1,WEATES,0.5665910335400774,30
2,ECT,0.5761885539299294,30
3,RNSB,0.12664163340575957,30
4,RND,0.21587667441327998,30
5,RIPA,0.10769424587488174,30
0,WEAT,0.08024444618416063,60
1,WEATES,0.6336416911340267,60
2,ECT,0.5922189542348165,60
3,RNSB,0.1810215415240443,60
4,RND,0.22500312927139468,60
5,RIPA,0.11665212363004684,60
0,WEAT,0.08891257228787247,80
1,WEATES,0.6781162226395797,80
2,ECT,0.6212429661981743,80
3,RNSB,0.16602567987946176,80
4,RND,0.22987715915849097,80
5,RIPA,0.121434785425663,80
0,WEAT,0.09596873779336226,100
1,WEATES,0.7130417861434387,100
2,ECT,0.6365283060699719,100
3,RNSB,0.14265061365606463,100
4,RND,0.2339630255313201,100
5,RIPA,0.12582238018512726,100
0,WEAT,0.04528889471652484,0
1,WEATES,0.45838583138578215,0
2,ECT,0.3442971838621102,0
3,RNSB,0.08597344114270554,0
4,RND,0.2515406613192699,0
5,RIPA,0.0895286276936531,0
0,WEAT,0.045610361445755546,10
1,WEATES,0.4453970124508171,10
2,ECT,0.3523716250610171,10
3,RNSB,0.21550714018265096,10
4,RND,0.23439154492614034,10
5,RIPA,0.10310109704732895,10
0,WEAT,0.06259639377916788,30
1,WEATES,0.4973722977580267,30
2,ECT,0.3496357173093441,30
3,RNSB,0.23429165072883038,30
4,RND,0.21321590191658735,30
5,RIPA,0.11291226744651794,30
0,WEAT,0.07783866347450791,60
1,WEATES,0.5266506382574316,60
2,ECT,0.3330739266900395,60
3,RNSB,0.24508466883936084,60
4,RND,0.20228398311889761,60
5,RIPA,0.12125294655561447,60
0,WEAT,0.08527460401812828,80
1,WEATES,0.5405109477894048,80
2,ECT,0.32581916911204517,80
3,RNSB,0.2124590942562708,80
4,RND,0.20458230515209197,80
5,RIPA,0.12514221668243408,80
0,WEAT,0.09235789727993109,100
1,WEATES,0.5684989172204681,100
2,ECT,0.3352509371763921,100
3,RNSB,0.23840410187265484,100
4,RND,0.20620712290396662,100
5,RIPA,0.12959779798984528,100
0,WEAT,0.04701696888341149,0
1,WEATES,0.4282360593904553,0
2,ECT,0.565401155460535,0
3,RNSB,0.08787469601378366,0
4,RND,0.1713230379221022,0
5,RIPA,0.06814328581094742,0
0,WEAT,0.051778092184056684,10
1,WEATES,0.43533771048222836,10
2,ECT,0.519913986129381,10
3,RNSB,0.08004024501930332,10
4,RND,0.20016323001418423,10
5,RIPA,0.06379274278879166,10
0,WEAT,0.06466294379091876,30
1,WEATES,0.5289736468499171,30
2,ECT,0.43681881473790246,30
3,RNSB,0.12664503218981557,30
4,RND,0.21982601140895952,30
5,RIPA,0.07782991230487823,30
0,WEAT,0.07734984014877794,60
1,WEATES,0.5809941987135844,60
2,ECT,0.4238150865784233,60
3,RNSB,0.1702198157524071,60
