,Weat,Weates,RND,RIPA,ECT,RNSB,alpha
0,0.11778012371006821,0.6425228487864454,0.6502977280054387,0.08402296,0.5166734579007383,0.12753295052661992,80
1,0.05884185883272167,0.39466773749386314,0.10815593461482341,0.080699496,0.4179427579754123,0.17231346543310874,100
2,0.05220157981090014,0.5398621550260433,0.04406004942753047,0.048439797,0.5001695225019307,0.031281070350357966,0
3,0.038780287582589223,0.5962649618785051,0.13721951350346484,0.030428307,0.7249041214937543,0.023472661460176354,0
4,0.042877552185752635,0.38502657614003055,0.2955381359138706,0.04604873,0.2811093369842433,0.04253880673392642,0
5,0.049003390521611234,0.7855112853232915,0.04757275192320961,0.040642165,0.4854419587544007,0.04851096511170065,0
6,0.05386062893015303,0.6752718562686938,0.233465149586613,0.055987287,0.5367497527282338,0.0600070085851701,0
7,0.05739591346150197,0.5036421225612658,0.23547765916496766,0.10014852,0.28689814472687,0.21092641866366138,60
8,0.035503916412992935,0.4170331270371827,0.18202422907057556,0.052890446,0.4862697441251516,0.08177121016617661,0
9,0.0979497877509152,0.8655952574687581,0.3289063723981411,0.067246236,0.4169260563480397,0.09773492759242539,10
