,Metric,Value,alpha
2,ECT,0.5956467772387319,0
3,RNSB,0.0552718756497032,0
4,RND,0.07093902041463034,0
5,RIPA,0.07750602811574936,0
0,WEAT,0.05817254663157398,10
1,WEATES,0.7040011781417992,10
2,ECT,0.5331586111520138,10
3,RNSB,0.11581126610261387,10
4,RND,0.047313541928229556,10
5,RIPA,0.051667358726263046,10
0,WEAT,0.056027441070676434,30
1,WEATES,0.6816488076071084,30
2,ECT,0.5118598668528261,30
3,RNSB,0.20894685209881006,30
4,RND,0.05085470608352884,30
5,RIPA,0.055388715118169785,30
0,WEAT,0.06943006921511433,60
1,WEATES,0.7451352623248706,60
2,ECT,0.531350205710609,60
3,RNSB,0.2086426064199979,60
4,RND,0.05643573616718561,60
5,RIPA,0.06879589706659317,60
0,WEAT,0.07660692217726545,80
1,WEATES,0.7679925776412837,80
2,ECT,0.5422795441898937,80
3,RNSB,0.2209801203526688,80
4,RND,0.061608064954878694,80
5,RIPA,0.07548805326223373,80
0,WEAT,0.0823635976797691,100
1,WEATES,0.7822634951931119,100
2,ECT,0.5322744909732785,100
3,RNSB,0.2140385625540478,100
4,RND,0.06736591871751911,100
5,RIPA,0.08066987246274948,100
0,WEAT,0.05777708461639777,0
1,WEATES,0.6367230735921358,0
2,ECT,0.6456973550543338,0
3,RNSB,0.06948023978369862,0
4,RND,0.18549846449015564,0
5,RIPA,0.07988143712282181,0
0,WEAT,0.06289471321275947,10
1,WEATES,0.6640260595426252,10
2,ECT,0.6108758537029304,10
3,RNSB,0.2161914477695516,10
4,RND,0.20185447873315757,10
5,RIPA,0.09773051738739014,10
0,WEAT,0.06823789016554813,30
1,WEATES,0.6790387212645681,30
2,ECT,0.6248098476450509,30
3,RNSB,0.2512966464260949,30
4,RND,0.21904034859732466,30
5,RIPA,0.10460319370031357,30
0,WEAT,0.07367528664661213,60
1,WEATES,0.6752950403255799,60
2,ECT,0.6157809082428517,60
3,RNSB,0.20897037942474883,60
4,RND,0.23323914115365504,60
5,RIPA,0.11359769850969315,60
0,WEAT,0.07996650571362757,80
1,WEATES,0.6994049280368098,80
2,ECT,0.6168371629739821,80
3,RNSB,0.1682659420734077,80
4,RND,0.23956814395587223,80
5,RIPA,0.12072280794382095,80
0,WEAT,0.08771446300812165,100
1,WEATES,0.7372945322597123,100
2,ECT,0.6241296704512431,100
3,RNSB,0.1981584171997234,100
4,RND,0.24444443099072197,100
5,RIPA,0.1269565373659134,100
0,WEAT,0.04483251036999361,0
1,WEATES,0.45951175059215826,0
2,ECT,0.2625064713469144,0
3,RNSB,0.07404042222399612,0
4,RND,0.2586284870144747,0
5,RIPA,0.08587539941072464,0
0,WEAT,0.04391127189475902,10
1,WEATES,0.42975212889301445,10
2,ECT,0.2647038196871289,10
3,RNSB,0.17995692115062095,10
4,RND,0.24193809537655706,10
5,RIPA,0.09398597478866577,10
0,WEAT,0.05968844294751845,30
1,WEATES,0.47861291836042535,30
2,ECT,0.28328265343124515,30
3,RNSB,0.21721759549890893,30
4,RND,0.2173974663277467,30
5,RIPA,0.10669127851724625,30
0,WEAT,0.07891280738778492,60
1,WEATES,0.552436349937005,60
2,ECT,0.29173697480332417,60
3,RNSB,0.21554906109087982,60
4,RND,0.2074307537464213,60
5,RIPA,0.11750155687332153,60
0,WEAT,0.08799238769067812,80
1,WEATES,0.5850933147217743,80
2,ECT,0.25803143382234955,80
3,RNSB,0.23655475204849472,80
4,RND,0.20311575113884087,80
5,RIPA,0.1231561005115509,80
0,WEAT,0.09508314687313175,100
1,WEATES,0.6083255323733614,100
2,ECT,0.2813327785740501,100
3,RNSB,0.17546781672811604,100
4,RND,0.20283031610616128,100
5,RIPA,0.13037793338298798,100
0,WEAT,0.054219595360489585,0
1,WEATES,0.4457060334191278,0
2,ECT,0.4523877329135017,0
3,RNSB,0.09019598429790218,0
4,RND,0.21380978673975673,0
5,RIPA,0.0614335723221302,0
0,WEAT,0.04468185578248425,10
1,WEATES,0.376367054267567,10
2,ECT,0.4022805889251146,10
3,RNSB,0.07676031229014482,10
4,RND,0.2279966598885588,10
5,RIPA,0.06818719953298569,10
0,WEAT,0.05504322248988543,30
1,WEATES,0.4756791872899588,30
2,ECT,0.40494050923124286,30
3,RNSB,0.12389643115906497,30
4,RND,0.23990937748461336,30
5,RIPA,0.07592616230249405,30
0,WEAT,0.07047484107358562,60
1,WEATES,0.5517475826342347,60
2,ECT,0.40281144164927846,60
3,RNSB,0.16385462915337037,60
4,RND,0.25006832357208475,60
5,RIPA,0.1008734181523323,60
0,WEAT,0.07753838682951736,80
1,WEATES,0.5728297006338787,80
2,ECT,0.4078834428528198,80
3,RNSB,0.1450046557858183,80
4,RND,0.2546024214466179,80
5,RIPA,0.11629568785429001,80
0,WEAT,0.0831585280265553,100
1,WEATES,0.5856295214717171,100
2,ECT,0.433091013742503,100
3,RNSB,0.11014298179738413,100
4,RND,0.25810617759766674,100
5,RIPA,0.12871374189853668,100
0,WEAT,0.09100800827028158,0
1,WEATES,0.7585316476368275,0
2,ECT,0.4222581293188586,0
3,RNSB,0.05585669119044578,0
4,RND,0.3067434572906688,0
5,RIPA,0.06508880108594894,0
0,WEAT,0.10786356542301648,10
1,WEATES,0.8712219730053009,10
2,ECT,0.430208291000634,10
3,RNSB,0.10556911735708716,10
4,RND,0.3119235787901495,10
5,RIPA,0.08109750598669052,10
0,WEAT,0.12043004443936187,30
1,WEATES,0.9383669483935909,30
2,ECT,0.4086157025048022,30
3,RNSB,0.2607704258384252,30
4,RND,0.3138596366558461,30
5,RIPA,0.09018212556838989,30
0,WEAT,0.12913110706751668,60
1,WEATES,0.9694385446579041,60
2,ECT,0.40526232386816613,60
3,RNSB,0.26177031026979325,60
4,RND,0.3138891507681299,60
5,RIPA,0.10059205442667007,60
0,WEAT,0.13284757889211726,80
1,WEATES,0.9778260422688602,80
2,ECT,0.4149477901404963,80
3,RNSB,0.26418847516945715,80
4,RND,0.3133395550176311,80
5,RIPA,0.10625036805868149,80
0,WEAT,0.1356974664603061,100
1,WEATES,0.9819729264081618,100
2,ECT,0.42815335707816327,100
3,RNSB,0.2696102092896727,100
4,RND,0.3126065241622212,100
5,RIPA,0.11070845276117325,100
