,Weat,Weates,RND,RIPA,ECT,RNSB,alpha
0,0.09823948776968489,0.6351719090716491,0.6488398921392807,0.07069368,0.4766303941459331,0.05780847794510508,0
0,0.10332035243457657,0.5703665552324952,0.6422912061744906,0.0739879,0.4723333122856939,0.10680288525297883,10
0,0.11454789893534041,0.5867952131864981,0.6394241336260962,0.08619177,0.46363141815541214,0.1356012765907752,30
0,0.12964306202199724,0.6475323368199913,0.6373090008088621,0.099705786,0.4763573639054776,0.14875624891758307,60
0,0.13759169213319805,0.6745350615563798,0.6356257008007674,0.10647719,0.4915728895714067,0.14892457174117726,80
0,0.14435376659459143,0.6957001554459151,0.6337515498630875,0.11195609,0.5061636391860037,0.1409880074480645,100
1,0.053169642050271804,0.45642184968743615,0.1073979924162133,0.03882086,0.38559427262492757,0.08085892727946567,0
1,0.050911541483275556,0.3941449982887514,0.1121067658318281,0.04614046,0.43040947964194015,0.12465184607196386,10
1,0.05952799437793398,0.4194142390108924,0.11209491265821887,0.066864744,0.4930289165593067,0.1535611001409541,30
1,0.07588684621520636,0.47155893496580475,0.11232262531198228,0.08647432,0.46396382299261846,0.16136924154615978,60
1,0.08521566835068209,0.49961408482318553,0.12079098200677772,0.096023016,0.46141228905089454,0.18190667689802026,80
1,0.0925170211688515,0.518832713841599,0.12754678749178322,0.10381157,0.4666105304330695,0.17581798519978012,100
2,0.05184392960514146,0.49771209469962824,0.04531266900703448,0.04935089,0.5711120379546303,0.033249704809356344,0
2,0.0796584679769837,0.6972286597870208,0.0570959360752162,0.06471229,0.5944874555427438,0.06629178408984326,10
2,0.1009719627084994,0.7904903226794084,0.07292361073643429,0.085543565,0.532754172464689,0.19376511878320768,30
2,0.12261080960284029,0.8460977848587884,0.09006686224815395,0.1074665,0.46825545301534,0.2769102772371247,60
2,0.13333125363984527,0.8667164675559734,0.0989913126498364,0.11886895,0.4453099555541819,0.30957047120847164,80
2,0.142073638096467,0.8808990710505302,0.10683091545261707,0.1284952,0.4198241654871848,0.27131216108519174,100
3,0.033076928504805925,0.26751134156644285,0.11722862682011663,0.04690738,0.8406585805515965,0.03022063047677662,0
3,0.04584587333845931,0.34344126633996197,0.11858872337047056,0.06021603,0.8884930468803934,0.04432043624423395,10
3,0.06358992296147564,0.43807766404184106,0.11930260153891363,0.073331945,0.8786710273081325,0.14060487725976997,30
3,0.08098649169648255,0.5029782523500037,0.12068457196956829,0.08641666,0.8725035307893497,0.17091406038520016,60
3,0.08954989971854052,0.5300894882053071,0.12132165846212406,0.093355924,0.8607608513189252,0.21395593496243429,80
3,0.09658516828307004,0.5510468141875154,0.12317838102422309,0.10085676,0.8634822056088397,0.15686478143317245,100
4,0.03512061854499186,0.4042580781367016,0.2884841127537252,0.06063621,0.3892775971715594,0.03225199812802106,0
4,0.05094118023265072,0.45882708117835475,0.2749596198504054,0.061129037,0.36807070773847056,0.12301034432747562,10
4,0.0729118766398511,0.520027915045986,0.2578823477954682,0.067869574,0.3050084589547435,0.1612453319617925,30
4,0.09429869624851314,0.5736117722249701,0.2457813578363116,0.077893876,0.3036948919712679,0.20714344927681108,60
4,0.10443015140456653,0.5970074621507699,0.2406908367328685,0.08587978,0.29743254275552605,0.1933133733542418,80
4,0.11253973393777766,0.6148109060948412,0.2367282577338289,0.09246399,0.30414830958634353,0.19364977935892558,100
5,0.04874181521210056,0.7194896690725293,0.05807263348325629,0.053199653,0.5054543291083474,0.04703116812044516,0
5,0.030401902122644257,0.4186130747556912,0.05738641494645184,0.05011089,0.5585210381219556,0.1246726899234863,10
5,0.030909181968005017,0.4619607522204948,0.05486067632528709,0.05426094,0.6003308183814458,0.16811196138702972,30
5,0.04847532294023979,0.5856634223279845,0.05466599487623569,0.059290748,0.576013492140912,0.2151163361638643,60
5,0.05733164453242336,0.6283255557002791,0.0558128730831147,0.06536555,0.5734039530228275,0.2124213375114432,80
5,0.06489189215060377,0.6573357469547091,0.05985043169453331,0.07029745,0.5958017977622213,0.20688073225006234,100
6,0.07023769804846133,0.7408739149442513,0.20786366301637235,0.08356166,0.5266547880320114,0.07721221118846337,0
6,0.07965630611941679,0.7916076951141912,0.20832972731104613,0.10148388,0.5333418468153325,0.14324548191389427,10
6,0.08360738726593009,0.7712245010241624,0.2182177950391123,0.110699214,0.5853566860239247,0.17163460758237883,30
6,0.0864466736306867,0.7392588418654441,0.23047671332543126,0.12197024,0.6215736144328252,0.1473194213345172,60
6,0.08769576381386857,0.722436195297267,0.2366043834965452,0.12810399,0.6288620012242522,0.15808537239383097,80
6,0.0910860117655877,0.7260313204994905,0.241518122450169,0.13319111,0.620974132776077,0.160598784532183,100
7,0.06207887382441439,0.6438278397963332,0.24736693088086878,0.074469626,0.3152909955193553,0.10879834679408133,0
7,0.06723676975601649,0.6369754860625066,0.21963948071888015,0.08676482,0.35861721623826265,0.15802843075489453,10
7,0.0792233303590576,0.6435714374728738,0.18999483290699506,0.09729928,0.3539622283749422,0.18405052485629292,30
7,0.09062479217825228,0.63156331493257,0.18588881948805833,0.11311894,0.31228923461094366,0.1571721789960244,60
7,0.09659615133647816,0.6367856128421819,0.1874037510876362,0.12279866,0.30561956613803526,0.20328080066362336,80
7,0.10233860499197783,0.6564804354794916,0.18879448702174817,0.13253403,0.3114982804601835,0.22348685738081553,100
8,0.047350957800374835,0.41919680414470484,0.19289666219236914,0.06759538,0.6160436955106744,0.0828763155937385,0
8,0.051013471586303025,0.4558797078098022,0.21844630937252849,0.059266612,0.5665602409122736,0.09785595355898703,10
8,0.05559238927260429,0.510061772929158,0.2363027385530112,0.07020711,0.5047006834277018,0.12137565584503572,30
8,0.0677313492384903,0.5566179636405048,0.24941259711164784,0.094313525,0.4657371233453534,0.1822995638976796,60
8,0.0745624524541509,0.5719891714556086,0.2545675072567947,0.11026454,0.4748197435161439,0.1782177903160333,80
8,0.07998131565495759,0.58019495888016,0.25826784865788616,0.12299571,0.47036090244921697,0.11762841594801408,100
9,0.11070759422191845,0.9743258972290022,0.2860865633128538,0.0727939,0.4528961815601988,0.07777314213295919,0
9,0.12174894639353749,1.0296066426229888,0.29382724880992733,0.075905,0.42878428768724114,0.0882113590109419,10
9,0.12964167489365036,1.0586401819668714,0.29641421867389245,0.08395044,0.4664950869414339,0.12332615871073715,30
9,0.13585322817497986,1.0639078946241305,0.29757177030671794,0.09486675,0.4437283905969847,0.17353901046518677,60
9,0.13862876756152606,1.0618270028360406,0.29792693405444465,0.10062748,0.4364605341552026,0.16178663515211714,80
9,0.14078814694340042,1.058160667942192,0.2981146285621236,0.10532705,0.44950407268924675,0.16956483603365038,100
