,Weat,Weates,RND,RIPA,ECT,RNSB,alpha
0,0.09059804145205393,0.5571404303847677,0.6429963052741666,0.05791362,0.5246058917499657,0.04840081246348467,0
0,0.09905448956127723,0.5941690370998465,0.6429378215185418,0.06658179,0.49408624712276383,0.06549778876751289,10
0,0.1136024281190181,0.6443690017067435,0.6410952974961586,0.08074349,0.519696799862431,0.08938587640384354,30
0,0.1289779514853624,0.6861652173061481,0.6385585573927771,0.09601122,0.5602053973911023,0.13148093645813294,60
0,0.13693752142644922,0.7054714582050658,0.636680223622636,0.103708684,0.56720996592299,0.13551728695346849,80
0,0.14369275220862324,0.7210595039141976,0.6347007356811513,0.11009511,0.5766075911324318,0.13949365864743565,100
1,0.021571429288461896,0.19195089066794782,0.10274600520451925,0.034467116,0.36542586883649225,0.07547629920679379,0
1,0.03202910480686549,0.2689283244484622,0.10100192837160273,0.04761037,0.387479466823732,0.08553132235719525,10
1,0.049855921602337705,0.35313304211253926,0.09950612092328627,0.06551503,0.3909548788203339,0.1388035292001574,30
1,0.07114580300163355,0.4514913648494769,0.1035033398478002,0.08442924,0.3973775440959308,0.15001869909433832,60
1,0.08113402640146194,0.4880913574823805,0.11218494820805709,0.09398994,0.38824154514973497,0.15089445709210314,80
1,0.08898684681377182,0.5131122091594235,0.12004296522141235,0.10188825,0.39147330517169426,0.12796428349645714,100
2,0.08230011633367815,0.7686669264042172,0.05752132698876494,0.062272016,0.5677170008311019,0.06069696217143445,0
2,0.10469748437182771,0.9021754144066026,0.06955918363326256,0.079266734,0.5343489625661605,0.07760165793885691,10
2,0.125864553565544,0.9358796844848548,0.0832896847667967,0.09919562,0.48601813764980356,0.11613951354888925,30
2,0.14533266856825663,0.9455225611091728,0.09830656794129845,0.120414,0.4402780586194122,0.16157939612440547,60
2,0.15453412152808096,0.9481806160426546,0.10604435956774434,0.13106689,0.4235663937803413,0.15657498063107197,80
2,0.1618823864206962,0.9496694836814242,0.11254842771462563,0.13990928,0.4123903223918875,0.18537009331913765,100
3,0.04314768203330977,0.5105761635777964,0.13326409562603123,0.027332658,0.8171964556820336,0.02975093343455873,0
3,0.05494744384951601,0.5267248349231647,0.13454225480797302,0.05291976,0.8235825836228333,0.022145400855714575,10
3,0.0748460885527685,0.5988783000229113,0.13336652958038933,0.076967396,0.7910691854470543,0.04021230453826056,30
3,0.09307243152940567,0.6369178180430735,0.13161201452636578,0.09776554,0.7973044026050751,0.12938639462816612,60
3,0.1017171907635421,0.6524284302929722,0.13111809377489972,0.107713245,0.8008009321235234,0.10733567824831612,80
3,0.10866790452737904,0.6643718823041688,0.13275678791852294,0.11584616,0.8021163277610815,0.12730046929888467,100
4,0.05462934234536283,0.38517918674610113,0.2593917311740504,0.05059868,0.36389418530130446,0.05722359403862617,0
4,0.07978475409462675,0.5955603632619104,0.25008354402516253,0.062458646,0.3019265521811274,0.15372181463023854,10
4,0.10027018701130276,0.6809825664495739,0.2459472143590746,0.07853585,0.2863721507105451,0.18430560961091352,30
4,0.11656141997292589,0.7125807689648909,0.24138243958831926,0.09160954,0.28166539284225867,0.1669020944149515,60
4,0.12400384441410991,0.7210902531651345,0.23863716968426765,0.09896917,0.30548227525983634,0.20321170962733112,80
4,0.12996099786373289,0.7263624164239574,0.2361013799009627,0.10481902,0.3062506194589706,0.23195774621948617,100
5,0.05311523171724032,0.6432734989121298,0.058165262874082475,0.06304203,0.5437045521894052,0.06540998567075926,0
5,0.036771764982925524,0.42722395775084154,0.04909082945436818,0.05343086,0.5353665834982579,0.09787294411236204,10
5,0.03684316200486418,0.4690387768097228,0.05075613361694826,0.053670023,0.546122146271077,0.15267762308706026,30
5,0.05109146277662921,0.563770081773993,0.05234765729472373,0.058132473,0.5628221470909841,0.16379936426926997,60
5,0.060226156156231586,0.6097396132291308,0.05441351186932367,0.061372105,0.5637451214647266,0.1669839328340336,80
5,0.06754548051721689,0.6412761236856526,0.05843848621620526,0.066993766,0.5607627084083483,0.18755487318442537,100
6,0.07020703217175811,0.7145545783214776,0.20084884668023137,0.085858524,0.647820270619629,0.0834069739972072,0
6,0.07055868613955567,0.7137393046155983,0.2157913973781204,0.09389006,0.6702092341825057,0.17693826556078748,10
6,0.07284376366554064,0.6973869847517438,0.23039222322991768,0.101442836,0.6846511785867015,0.17447557566903013,30
6,0.07628434387300737,0.6804725635483726,0.24433275874801963,0.114971556,0.6904548320637925,0.17648969598867584,60
6,0.07824174361683554,0.6718205816050568,0.2506655093479499,0.12274446,0.6925169779586452,0.17617299619296561,80
6,0.08505705197523852,0.7016778447955547,0.25550381014228357,0.12899847,0.6848648617673262,0.13994228231389338,100
7,0.06021758758806123,0.5727962851502841,0.2824936831826858,0.07758184,0.25919688063075236,0.10534790039898996,0
7,0.07202225503879288,0.6146433143080406,0.2475958959775136,0.0915596,0.27016983701949465,0.1727040721524358,10
7,0.0821922600639097,0.5933839796135875,0.2190348187581618,0.10430711,0.3005419197130728,0.1805760136559304,30
7,0.09365720313987652,0.5958792632063454,0.20654402543415418,0.11611146,0.27970666220576623,0.1613692831398427,60
7,0.10099205990617534,0.6274554319515412,0.20508099957295256,0.121741645,0.2702782858859696,0.15420731412816607,80
7,0.10673537104589781,0.6494707958128417,0.20562666254197526,0.12915266,0.27222304256831054,0.1775857736254217,100
8,0.025094667310779376,0.1836193099156585,0.2050765452695267,0.057374883,0.6442776336088639,0.06764327812420447,0
8,0.033847813107911275,0.2817502904038411,0.2134802021251777,0.052365545,0.591638419851916,0.12484930952482894,10
8,0.04038903755714307,0.36119546651125783,0.22548098146464834,0.06104758,0.5639785628381732,0.1594184376817946,30
8,0.05587164309625177,0.4386259925766542,0.23691583027451998,0.08821413,0.550090290319864,0.17745574239414144,60
8,0.06399601305510927,0.46770854449874966,0.24224723547248084,0.102454,0.5574038972258986,0.16558908112726906,80
8,0.07044956008750558,0.48699372131241075,0.24645432892086427,0.11441935,0.5562281942968319,0.13650796256069478,100
9,0.11210035980551664,0.9859839187066334,0.3119048268606738,0.08247974,0.34125370190266907,0.05531726027965119,0
9,0.12249272544982431,1.0363027660912878,0.3075486928534734,0.08512601,0.37374949868394763,0.11560466604202481,10
9,0.13370487249033727,1.0819247089048225,0.3050455626733417,0.095386796,0.44399417497340443,0.14023827840358946,30
9,0.14085320356401093,1.089363660818935,0.3039950319813756,0.10520185,0.46346607009379426,0.13812837057959884,60
9,0.14353038309777466,1.08451954923283,0.30359457044713334,0.11011448,0.4790587399695581,0.1766767873408777,80
9,0.14544255360673058,1.0774892682630879,0.30322209364526603,0.11402801,0.5189234807131896,0.15792914289385496,100
