,Weat,Weates,RND,RIPA,ECT,RNSB,alpha
0,0.0892034121770771,0.6030402986633575,0.6486469817374699,0.062856115,0.5627847984333582,0.04663906081848917,0
0,0.09253644743509275,0.5506523908756192,0.654960188975054,0.076151334,0.5092441294194335,0.09661830807352965,10
0,0.1089937464391522,0.6149438964013686,0.6518124532783595,0.08862392,0.5371148085726267,0.14481439059541454,30
0,0.1278917063804293,0.6812287832654352,0.6469809289101002,0.10106272,0.557651677887525,0.13619504232943438,60
0,0.13738791635452624,0.709628116188379,0.6439785735172588,0.107480116,0.5722211100821396,0.14558026972198945,80
0,0.14521876769773018,0.7310527229173266,0.6411167309591174,0.11345657,0.5631802083459844,0.14485207685157242,100
1,0.04930506787307808,0.33854033177882836,0.10681412878501466,0.041669905,0.35981530551469865,0.08730933793483475,0
1,0.0360880613529749,0.2479133536991202,0.10979107318469859,0.04754446,0.42955294626215235,0.10112512201550497,10
1,0.045349744967861656,0.313925261445077,0.10905751056869155,0.06568677,0.45550574995758425,0.11652793507479826,30
1,0.06628696051725548,0.4077567245349704,0.10847611394268468,0.08426413,0.4802872158906785,0.13439412637067377,60
1,0.07610258927144181,0.4442649424695668,0.11196278051823468,0.093548656,0.474569990557818,0.1734375800525374,80
1,0.08382349345883379,0.4701052295150365,0.11864961378433685,0.101202756,0.4544918183292834,0.16914008085226137,100
2,0.04398919360045553,0.3803078647614056,0.05812342210495599,0.06437629,0.47127688403952006,0.03483127860462464,0
2,0.07317450431526712,0.6714529442542643,0.06848244942808798,0.07606603,0.46569124268285494,0.07568678898167853,10
2,0.10066575311864423,0.797508860426489,0.08947952390907458,0.105144,0.3649949483515434,0.10752242073160682,30
2,0.12539678288320233,0.854194740350933,0.10841627569138067,0.13102403,0.30743322086228836,0.14007914987236453,60
2,0.13692109030906605,0.8719058635027669,0.1170949472546897,0.14303194,0.3021975762950588,0.20874300899213322,80
2,0.14604893684508502,0.8833112065637136,0.12409487985234685,0.15259391,0.28603290908283324,0.15634379567933504,100
3,0.04122249822281093,0.5180780426313788,0.1321223237340886,0.03982017,0.7858359930189973,0.014528754854011925,0
3,0.059437363143156265,0.540261678449446,0.13717829418539867,0.062408283,0.8121115703373772,0.03801068289419117,10
3,0.08000357700382087,0.6156423419467806,0.13406187930347882,0.08372112,0.8069758532008899,0.14757363376957258,30
3,0.09872393125583576,0.6613350089339833,0.1297187934445058,0.10364654,0.809733191800663,0.2178592267015854,60
3,0.10748675473082445,0.6788654299704558,0.12876326260221607,0.11340031,0.8023205898382141,0.22656045883285783,80
3,0.11446167343552073,0.6915399606622936,0.12984207796988048,0.12143609,0.8100638757078943,0.1808649765319677,100
4,0.058519497438791104,0.5110831551966512,0.27177053518172595,0.05708635,0.4474428745914087,0.06371789441581228,0
4,0.07019636473978445,0.535974234171151,0.25938795523695746,0.057039008,0.3747742442663993,0.1438464640653696,10
4,0.0907513504672377,0.5975241649372169,0.2490011523410706,0.07126618,0.35828404279740184,0.14312400436299352,30
4,0.1104707070098803,0.6471330404093051,0.24115009387950748,0.08776921,0.3091663786713927,0.20552523658862526,60
4,0.11967009705283822,0.6665283278405599,0.2374009973019606,0.09623147,0.32970042684310114,0.18229234612780557,80
4,0.12697031595484606,0.6803242808351911,0.23425767313694043,0.102967255,0.3506261956378384,0.1528918806192312,100
5,0.06308247839404099,0.7838763765850297,0.06271014949400963,0.07251399,0.42836266699801767,0.0465240108347686,0
5,0.05801875028319158,0.7371667850514008,0.06200584970560149,0.0700231,0.4749581302905146,0.15886271786077436,10
5,0.05588902137253943,0.7098874668239448,0.06635677465657806,0.07370449,0.5598345497855112,0.18744044658186976,30
5,0.0678164934426074,0.7421652497706709,0.0695438871886316,0.07950856,0.5473286989806998,0.2147694537232425,60
5,0.07552412986004778,0.7650492102157608,0.07118892817747258,0.081868686,0.5351206029987602,0.21152507533041462,80
5,0.08166834669656176,0.7801588039350992,0.07375570084686804,0.08462641,0.5491237897853054,0.2035965484024611,100
6,0.04270880486598465,0.5220633302114613,0.21131660691148016,0.08321533,0.5351174340594834,0.07405839739988569,0
6,0.05922036485841051,0.6133696215040535,0.20508190830328762,0.08906128,0.5740923647776187,0.1551746243735754,10
6,0.06842381397056913,0.6312529140045077,0.2135827033300408,0.10078748,0.6087265958954071,0.15281686264537894,30
6,0.07652412386049406,0.6452373512358304,0.22613448080790252,0.11442531,0.622217834317833,0.16916564736773784,60
