,Metric,Value,alpha
2,ECT,0.5054543291083474,0
3,RNSB,0.04703116812044516,0
4,RND,0.05807263348325629,0
5,RIPA,0.053199652582407,0
0,WEAT,0.030401902122644257,10
1,WEATES,0.4186130747556912,10
2,ECT,0.5585210381219556,10
3,RNSB,0.1246726899234863,10
4,RND,0.05738641494645184,10
5,RIPA,0.050110891461372375,10
0,WEAT,0.030909181968005017,30
1,WEATES,0.4619607522204948,30
2,ECT,0.6003308183814458,30
3,RNSB,0.16811196138702972,30
4,RND,0.05486067632528709,30
5,RIPA,0.05426093935966492,30
0,WEAT,0.04847532294023979,60
1,WEATES,0.5856634223279845,60
2,ECT,0.576013492140912,60
3,RNSB,0.2151163361638643,60
4,RND,0.05466599487623569,60
5,RIPA,0.059290748089551926,60
0,WEAT,0.05733164453242336,80
1,WEATES,0.6283255557002791,80
2,ECT,0.5734039530228275,80
3,RNSB,0.2124213375114432,80
4,RND,0.0558128730831147,80
5,RIPA,0.06536555290222168,80
0,WEAT,0.06489189215060377,100
1,WEATES,0.6573357469547091,100
2,ECT,0.5958017977622213,100
3,RNSB,0.20688073225006234,100
4,RND,0.05985043169453331,100
5,RIPA,0.07029744982719421,100
0,WEAT,0.07023769804846133,0
1,WEATES,0.7408739149442513,0
2,ECT,0.5266547880320114,0
3,RNSB,0.07721221118846337,0
4,RND,0.20786366301637235,0
5,RIPA,0.08356165885925293,0
0,WEAT,0.07965630611941679,10
1,WEATES,0.7916076951141912,10
2,ECT,0.5333418468153325,10
3,RNSB,0.14324548191389427,10
4,RND,0.20832972731104613,10
5,RIPA,0.10148388147354126,10
0,WEAT,0.08360738726593009,30
1,WEATES,0.7712245010241624,30
2,ECT,0.5853566860239247,30
3,RNSB,0.17163460758237883,30
4,RND,0.2182177950391123,30
5,RIPA,0.11069921404123306,30
0,WEAT,0.0864466736306867,60
1,WEATES,0.7392588418654441,60
2,ECT,0.6215736144328252,60
3,RNSB,0.1473194213345172,60
4,RND,0.23047671332543126,60
5,RIPA,0.12197023630142212,60
0,WEAT,0.08769576381386857,80
1,WEATES,0.722436195297267,80
2,ECT,0.6288620012242522,80
3,RNSB,0.15808537239383097,80
4,RND,0.2366043834965452,80
5,RIPA,0.12810398638248444,80
0,WEAT,0.0910860117655877,100
