,Metric,Value,alpha
2,ECT,0.5437045521894052,0
3,RNSB,0.06540998567075926,0
4,RND,0.058165262874082475,0
5,RIPA,0.06304202973842621,0
0,WEAT,0.036771764982925524,10
1,WEATES,0.42722395775084154,10
2,ECT,0.5353665834982579,10
3,RNSB,0.09787294411236204,10
4,RND,0.04909082945436818,10
5,RIPA,0.05343085899949074,10
0,WEAT,0.03684316200486418,30
1,WEATES,0.4690387768097228,30
2,ECT,0.546122146271077,30
3,RNSB,0.15267762308706026,30
4,RND,0.05075613361694826,30
5,RIPA,0.05367002263665199,30
0,WEAT,0.05109146277662921,60
1,WEATES,0.563770081773993,60
2,ECT,0.5628221470909841,60
3,RNSB,0.16379936426926997,60
4,RND,0.05234765729472373,60
5,RIPA,0.05813247337937355,60
0,WEAT,0.060226156156231586,80
1,WEATES,0.6097396132291308,80
2,ECT,0.5637451214647266,80
3,RNSB,0.1669839328340336,80
4,RND,0.05441351186932367,80
5,RIPA,0.06137210503220558,80
0,WEAT,0.06754548051721689,100
1,WEATES,0.6412761236856526,100
2,ECT,0.5607627084083483,100
3,RNSB,0.18755487318442537,100
4,RND,0.05843848621620526,100
5,RIPA,0.06699376553297043,100
0,WEAT,0.07020703217175811,0
1,WEATES,0.7145545783214776,0
2,ECT,0.647820270619629,0
3,RNSB,0.0834069739972072,0
4,RND,0.20084884668023137,0
5,RIPA,0.08585852384567261,0
0,WEAT,0.07055868613955567,10
1,WEATES,0.7137393046155983,10
2,ECT,0.6702092341825057,10
3,RNSB,0.17693826556078748,10
4,RND,0.2157913973781204,10
5,RIPA,0.09389006346464157,10
0,WEAT,0.07284376366554064,30
1,WEATES,0.6973869847517438,30
2,ECT,0.6846511785867015,30
3,RNSB,0.17447557566903013,30
4,RND,0.23039222322991768,30
5,RIPA,0.1014428362250328,30
0,WEAT,0.07628434387300737,60
1,WEATES,0.6804725635483726,60
2,ECT,0.6904548320637925,60
3,RNSB,0.17648969598867584,60
4,RND,0.24433275874801963,60
5,RIPA,0.11497155576944351,60
0,WEAT,0.07824174361683554,80
1,WEATES,0.6718205816050568,80
2,ECT,0.6925169779586452,80
3,RNSB,0.17617299619296561,80
4,RND,0.2506655093479499,80
5,RIPA,0.12274446338415146,80
0,WEAT,0.08505705197523852,100
1,WEATES,0.7016778447955547,100
2,ECT,0.6848648617673262,100
3,RNSB,0.13994228231389338,100
4,RND,0.25550381014228357,100
5,RIPA,0.12899847328662872,100
0,WEAT,0.06021758758806123,0
1,WEATES,0.5727962851502841,0
2,ECT,0.25919688063075236,0
3,RNSB,0.10534790039898996,0
4,RND,0.2824936831826858,0
5,RIPA,0.07758183777332306,0
0,WEAT,0.07202225503879288,10
1,WEATES,0.6146433143080406,10
2,ECT,0.27016983701949465,10
3,RNSB,0.1727040721524358,10
4,RND,0.2475958959775136,10
5,RIPA,0.09155959635972977,10
0,WEAT,0.0821922600639097,30
1,WEATES,0.5933839796135875,30
2,ECT,0.3005419197130728,30
3,RNSB,0.1805760136559304,30
4,RND,0.2190348187581618,30
5,RIPA,0.10430710762739182,30
0,WEAT,0.09365720313987652,60
1,WEATES,0.5958792632063454,60
2,ECT,0.27970666220576623,60
3,RNSB,0.1613692831398427,60
4,RND,0.20654402543415418,60
5,RIPA,0.11611145734786987,60
0,WEAT,0.10099205990617534,80
1,WEATES,0.6274554319515412,80
2,ECT,0.2702782858859696,80
3,RNSB,0.15420731412816607,80
4,RND,0.20508099957295256,80
5,RIPA,0.1217416450381279,80
0,WEAT,0.10673537104589781,100
1,WEATES,0.6494707958128417,100
2,ECT,0.27222304256831054,100
3,RNSB,0.1775857736254217,100
4,RND,0.20562666254197526,100
5,RIPA,0.12915265560150146,100
0,WEAT,0.025094667310779376,0
1,WEATES,0.1836193099156585,0
2,ECT,0.6442776336088639,0
3,RNSB,0.06764327812420447,0
4,RND,0.2050765452695267,0
5,RIPA,0.05737488344311714,0
0,WEAT,0.033847813107911275,10
1,WEATES,0.2817502904038411,10
2,ECT,0.591638419851916,10
3,RNSB,0.12484930952482894,10
4,RND,0.2134802021251777,10
5,RIPA,0.05236554518342018,10
0,WEAT,0.04038903755714307,30
1,WEATES,0.36119546651125783,30
2,ECT,0.5639785628381732,30
3,RNSB,0.1594184376817946,30
4,RND,0.22548098146464834,30
5,RIPA,0.06104758009314537,30
0,WEAT,0.05587164309625177,60
1,WEATES,0.4386259925766542,60
2,ECT,0.550090290319864,60
3,RNSB,0.17745574239414144,60
4,RND,0.23691583027451998,60
5,RIPA,0.08821412920951843,60
0,WEAT,0.06399601305510927,80
1,WEATES,0.46770854449874966,80
2,ECT,0.5574038972258986,80
3,RNSB,0.16558908112726906,80
4,RND,0.24224723547248084,80
5,RIPA,0.10245399922132492,80
0,WEAT,0.07044956008750558,100
1,WEATES,0.48699372131241075,100
2,ECT,0.5562281942968319,100
3,RNSB,0.13650796256069478,100
4,RND,0.24645432892086427,100
5,RIPA,0.1144193485379219,100
0,WEAT,0.11210035980551664,0
1,WEATES,0.9859839187066334,0
2,ECT,0.34125370190266907,0
3,RNSB,0.05531726027965119,0
4,RND,0.3119048268606738,0
5,RIPA,0.08247973769903183,0
0,WEAT,0.12249272544982431,10
1,WEATES,1.0363027660912878,10
2,ECT,0.37374949868394763,10
3,RNSB,0.11560466604202481,10
4,RND,0.3075486928534734,10
5,RIPA,0.08512601256370544,10
0,WEAT,0.13370487249033727,30
1,WEATES,1.0819247089048225,30
2,ECT,0.44399417497340443,30
3,RNSB,0.14023827840358946,30
4,RND,0.3050455626733417,30
5,RIPA,0.0953867956995964,30
0,WEAT,0.14085320356401093,60
1,WEATES,1.089363660818935,60
2,ECT,0.46346607009379426,60
3,RNSB,0.13812837057959884,60
4,RND,0.3039950319813756,60
5,RIPA,0.1052018478512764,60
