,Metric,Value,solver
2,ECT,0.3425626963615818,auto
3,RNSB,0.1406200225233688,auto
4,RND,0.2187518729591106,auto
5,RIPA,0.23569554090499878,auto
0,WEAT,0.13890528701409496,full
1,WEATES,0.7876933496054769,full
2,ECT,0.3425626963615818,full
3,RNSB,0.11816932429963027,full
4,RND,0.2187518729591106,full
5,RIPA,0.23569554090499878,full
0,WEAT,0.1389053380548097,arpack
1,WEATES,0.7876935873850976,arpack
2,ECT,0.3425626963615818,arpack
3,RNSB,0.12967771397447406,arpack
4,RND,0.2187519226809389,arpack
5,RIPA,0.23569555580615997,arpack
0,WEAT,0.13890529987205727,randomized
1,WEATES,0.7876934304008879,randomized
2,ECT,0.3425626963615818,randomized
3,RNSB,0.12253965471210482,randomized
4,RND,0.21875187475211613,randomized
5,RIPA,0.23569558560848236,randomized
0,WEAT,0.09619394126315368,auto
1,WEATES,0.5443699756123271,auto
2,ECT,0.6755907136426039,auto
3,RNSB,0.06015271001827842,auto
4,RND,0.2837362487472303,auto
5,RIPA,0.19327710568904877,auto
0,WEAT,0.09619394126315368,full
1,WEATES,0.5443699756123271,full
2,ECT,0.6755907136426039,full
3,RNSB,0.07415343690479334,full
4,RND,0.2837362487472303,full
5,RIPA,0.19327710568904877,full
0,WEAT,0.09619393625496186,arpack
1,WEATES,0.5443699424717471,arpack
2,ECT,0.6755907136426039,arpack
3,RNSB,0.07236200539841457,arpack
4,RND,0.2837362523060296,arpack
5,RIPA,0.19327710568904877,arpack
0,WEAT,0.09619393612726962,randomized
1,WEATES,0.5443699143730222,randomized
2,ECT,0.6755907136426039,randomized
3,RNSB,0.08334459084466261,randomized
4,RND,0.2837362390183102,randomized
5,RIPA,0.19327710568904877,randomized
0,WEAT,0.14220948735041045,auto
1,WEATES,0.851636082876908,auto
2,ECT,0.6898300696843647,auto
3,RNSB,0.08929324126544981,auto
4,RND,0.27041308568736977,auto
5,RIPA,0.12692248821258545,auto
0,WEAT,0.14273370548777434,full
1,WEATES,0.8516645741019383,full
2,ECT,0.690274365448239,full
3,RNSB,0.09222376973173164,full
4,RND,0.2697053847545267,full
5,RIPA,0.12602007389068604,full
0,WEAT,0.14273369876364916,arpack
1,WEATES,0.8516645778040168,arpack
2,ECT,0.690274365448239,arpack
3,RNSB,0.09321316827805329,arpack
4,RND,0.2697054175824346,arpack
5,RIPA,0.12602007389068604,arpack
0,WEAT,0.14273369797166563,randomized
1,WEATES,0.8516645601833235,randomized
2,ECT,0.690274365448239,randomized
3,RNSB,0.09657649017075491,randomized
4,RND,0.26970541545371024,randomized
5,RIPA,0.12602008879184723,randomized
