,Weat,Weates,RND,RIPA,ECT,RNSB,solver
0,0.21468444489718455,0.8705709575963521,0.5433473415340627,0.16535483,0.5451679398889052,0.10758323011051553,arpack
1,0.10672577305300948,0.5015690181966653,0.18059993323176735,0.15634142,0.4006844597989272,0.09363572458039536,arpack
2,0.1763553725993124,0.7862113158694471,0.15591191629894333,0.20115203,0.5530558405829193,0.09074428740768939,arpack
3,0.1412769869854431,0.6963768142027865,0.1260405577148311,0.17704451,0.8681802147339734,0.04987239951854033,randomized
4,0.16058847669474255,0.6767870777900145,0.19220064242691715,0.14798708,0.6220573882526735,0.0943329410598985,randomized
5,0.10690553062118344,0.7853556994062548,0.10847301185663787,0.11527077,0.756384359072372,0.12467259500918451,randomized
6,0.14089680558993806,0.8954597947541642,0.24386993854030348,0.1750286,0.7457566857051413,0.11425079672020479,randomized
7,0.13106004603776414,0.745866314321792,0.21025605601458838,0.22577985,0.30983743029219224,0.14629762275264627,randomized
8,0.09627068571328887,0.5537481595092819,0.2823493269073851,0.19182561,0.6599326855123933,0.07327153269170447,randomized
9,0.13764612959112352,0.8370520307589976,0.27411041374442513,0.12515898,0.6908685753635987,0.09102379517439209,randomized
