,Metric,Value,solver
2,ECT,0.35505449135008665,auto
3,RNSB,0.12669735155425346,auto
4,RND,0.2199365674480774,auto
5,RIPA,0.23675788938999176,auto
0,WEAT,0.14071009485715702,full
1,WEATES,0.79664320455941,full
2,ECT,0.35505449135008665,full
3,RNSB,0.14577850005189877,full
4,RND,0.2199365674480774,full
5,RIPA,0.23675788938999176,full
0,WEAT,0.1407101373828289,arpack
1,WEATES,0.7966433776502857,arpack
2,ECT,0.35505449135008665,arpack
3,RNSB,0.1234441335326317,arpack
4,RND,0.21993661047521795,arpack
5,RIPA,0.23675793409347534,arpack
0,WEAT,0.14071010090977748,randomized
1,WEATES,0.7966432224368225,randomized
2,ECT,0.35505449135008665,randomized
3,RNSB,0.1455084295213052,randomized
4,RND,0.21993657506324746,randomized
5,RIPA,0.23675788938999176,randomized
0,WEAT,0.10611373614307583,auto
1,WEATES,0.5961260625757346,auto
2,ECT,0.6820881337588226,auto
3,RNSB,0.07073717464942257,auto
4,RND,0.2894554000636329,auto
5,RIPA,0.20591439306735992,auto
0,WEAT,0.10611373614307583,full
1,WEATES,0.5961260625757346,full
2,ECT,0.6820881337588226,full
3,RNSB,0.08062735258904981,full
4,RND,0.2894554000636329,full
5,RIPA,0.20591439306735992,full
0,WEAT,0.10615802631567592,arpack
1,WEATES,0.5971632433012282,arpack
2,ECT,0.6835880286805841,arpack
3,RNSB,0.0764110768868865,arpack
4,RND,0.28935875531743643,arpack
5,RIPA,0.2058931142091751,arpack
0,WEAT,0.10611373053971841,randomized
1,WEATES,0.596125984768481,randomized
2,ECT,0.6820881337588226,randomized
3,RNSB,0.054593563360189765,randomized
4,RND,0.28945536530359584,randomized
5,RIPA,0.20591439306735992,randomized
0,WEAT,0.14136494135733693,auto
1,WEATES,0.8477436223008592,auto
2,ECT,0.6859855374248665,auto
3,RNSB,0.08735447221905689,auto
4,RND,0.26930113792142335,auto
5,RIPA,0.12631569802761078,auto
0,WEAT,0.14136494135733693,full
1,WEATES,0.8477436223008592,full
2,ECT,0.6859855374248665,full
3,RNSB,0.0833665200047448,full
4,RND,0.26930113792142335,full
5,RIPA,0.12631569802761078,full
0,WEAT,0.14136494185023118,arpack
1,WEATES,0.8477436082280188,arpack
2,ECT,0.6859855361082646,arpack
3,RNSB,0.08326009099384175,arpack
4,RND,0.2693011239363989,arpack
5,RIPA,0.12631569802761078,arpack
0,WEAT,0.14136493797177685,randomized
1,WEATES,0.8477436185845344,randomized
2,ECT,0.6859855374248665,randomized
3,RNSB,0.08906754191364565,randomized
4,RND,0.26930114336421745,randomized
5,RIPA,0.12631568312644958,randomized
