,Metric,Value,solver
2,ECT,0.30384244693013274,auto
3,RNSB,0.13062529046820748,auto
4,RND,0.2126346722706088,auto
5,RIPA,0.22568249702453613,auto
0,WEAT,0.13181908135668216,full
1,WEATES,0.7416169234482333,full
2,ECT,0.29203110883266253,full
3,RNSB,0.13311410818080796,full
4,RND,0.212402562717532,full
5,RIPA,0.22505801916122437,full
0,WEAT,0.13187246665894717,arpack
1,WEATES,0.7446183589977503,arpack
2,ECT,0.30384244693013274,arpack
3,RNSB,0.141966036991294,arpack
4,RND,0.21263468486510648,arpack
5,RIPA,0.22568249702453613,arpack
0,WEAT,0.13181908308351747,randomized
1,WEATES,0.7416169285591344,randomized
2,ECT,0.29203110883266253,randomized
3,RNSB,0.13660266102725677,randomized
4,RND,0.21240258225835415,randomized
5,RIPA,0.22505806386470795,randomized
0,WEAT,0.10019527818274167,auto
1,WEATES,0.5562599587598086,auto
2,ECT,0.6687515401812018,auto
3,RNSB,0.08684138818754984,auto
4,RND,0.2852589728972067,auto
5,RIPA,0.199252188205719,auto
0,WEAT,0.10019527818274167,full
1,WEATES,0.5562599587598086,full
2,ECT,0.6687515401812018,full
3,RNSB,0.07431145687598613,full
4,RND,0.2852589728972067,full
5,RIPA,0.199252188205719,full
0,WEAT,0.10019527974732431,arpack
1,WEATES,0.556259855383358,arpack
2,ECT,0.6687515401812018,arpack
3,RNSB,0.0724955157200557,arpack
4,RND,0.285258887331692,arpack
5,RIPA,0.1992521733045578,arpack
0,WEAT,0.10019527430810339,randomized
1,WEATES,0.5562598976073555,randomized
2,ECT,0.6687515401812018,randomized
3,RNSB,0.07698563564291791,randomized
4,RND,0.2852589297768687,randomized
5,RIPA,0.1992521435022354,randomized
0,WEAT,0.13960913010338002,auto
1,WEATES,0.8348648855667277,auto
2,ECT,0.6862875892228644,auto
3,RNSB,0.09160863625044244,auto
4,RND,0.2720823866787237,auto
5,RIPA,0.12571004033088684,auto
0,WEAT,0.13960913010338002,full
1,WEATES,0.8348648855667277,full
2,ECT,0.6862875892228644,full
3,RNSB,0.08602503582362624,full
4,RND,0.2720823866787237,full
5,RIPA,0.12571004033088684,full
0,WEAT,0.1396091291719292,arpack
1,WEATES,0.8348648872993956,arpack
2,ECT,0.6862875892228644,arpack
3,RNSB,0.09225671064401109,arpack
4,RND,0.2720823800603431,arpack
5,RIPA,0.12571002542972565,arpack
0,WEAT,0.13960912940852133,randomized
1,WEATES,0.8348648850673379,randomized
2,ECT,0.6862875892228644,randomized
3,RNSB,0.09395113119722524,randomized
4,RND,0.2720823932173719,randomized
5,RIPA,0.12571004033088684,randomized
