,Weat,Weates,RND,RIPA,ECT,RNSB,solver
0,0.2198325441288373,0.87796549627396,0.5410397667325378,0.16964571,0.5483372278726878,0.09564161685255237,auto
0,0.2198325441288373,0.87796549627396,0.5410397667325378,0.16964571,0.5483372278726878,0.09011356510638109,full
0,0.21983254177937928,0.8779654988686498,0.5410397464479373,0.16964571,0.5483372278726878,0.08129970976545411,arpack
0,0.21983255108637717,0.8779655130663562,0.5410397501390563,0.16964571,0.5483372278726878,0.09669093088097502,randomized
1,0.10822459072615967,0.503838641676916,0.18248873588767464,0.15858757,0.3892339777707909,0.12179635161677582,auto
1,0.10822459072615967,0.503838641676916,0.18248873588767464,0.15858757,0.3892339777707909,0.08802311248601628,full
1,0.10822459748079628,0.5038386549732116,0.1824887447162397,0.15858759,0.3892339777707909,0.09816250276430885,arpack
1,0.10822458577915603,0.503838629306392,0.1824887420446111,0.15858757,0.3892339777707909,0.11268786340290875,randomized
2,0.1825121075622561,0.7908175754767061,0.16055838020737048,0.20763934,0.5504732281118963,0.09062871978108669,auto
2,0.1825121075622561,0.7908175754767061,0.16055838020737048,0.20763934,0.5504732281118963,0.09626205115891762,full
2,0.1825121068621242,0.7908175670749759,0.16055838469652822,0.20763935,0.5504732281118963,0.11118467233555537,arpack
2,0.18333366018337885,0.7924636140412036,0.16133800766157133,0.20860176,0.5473277252039422,0.10705975789169805,randomized
3,0.14123934924443005,0.6905558877469662,0.12612455134752001,0.17648761,0.8663865961792302,0.04344078338025252,auto
3,0.14123934924443005,0.6905558877469662,0.12612455134752001,0.17648761,0.8663865961792302,0.0667921144390694,full
3,0.14123935177041524,0.6905558618794829,0.12612453093795695,0.17648761,0.8663865961792302,0.057989845054950515,arpack
3,0.14123935340387617,0.6905558864665301,0.12612453727626186,0.17648761,0.8663865961792302,0.032278713780405706,randomized
4,0.16336640665330815,0.6775765113309447,0.19523112407351692,0.14909463,0.6201871003968428,0.09163004706301163,auto
4,0.16336640665330815,0.6775765113309447,0.19523112407351692,0.14909463,0.6201871003968428,0.1185129918101422,full
4,0.16336640824885246,0.6775765022062495,0.19523111878680685,0.14909463,0.6201871003968428,0.1137669584051884,arpack
4,0.16437656688335928,0.682507773162083,0.19534332369650323,0.15007114,0.6302980078148038,0.08317737734865367,randomized
5,0.10992744160412034,0.798344069629408,0.11145834186543048,0.115706526,0.7573558069807268,0.08195894022579604,auto
5,0.10992744160412034,0.798344069629408,0.11145834186543048,0.115706526,0.7573558069807268,0.07516722427770195,full
5,0.10992743050896109,0.7983440162674704,0.11145832615964663,0.1157065,0.7573558069807268,0.09053896826858641,arpack
5,0.1099274480734249,0.798344093355844,0.11145835125204383,0.11570653,0.7573558069807268,0.07059667523063652,randomized
6,0.14607687974737207,0.911171987581499,0.2487203605840115,0.18026227,0.743690397077918,0.12685969487610732,auto
6,0.14607687974737207,0.911171987581499,0.2487203605840115,0.18026227,0.743690397077918,0.11991725983953634,full
6,0.14607690231808085,0.9111720589538702,0.248720392775045,0.18026228,0.743690397077918,0.10474961067220431,arpack
6,0.14607687961994276,0.911171985001568,0.24872036105938655,0.18026227,0.743690397077918,0.10847160466909042,randomized
7,0.13839455589548172,0.7811550436951408,0.21837734958380148,0.2310756,0.3423538793763268,0.1251786250449198,auto
7,0.13834359268663715,0.7780843401778524,0.21771336006375983,0.23042083,0.3451713671171754,0.13290069136473817,full
7,0.13834359076217984,0.7780843595267767,0.21771337039363503,0.23042081,0.3451713671171754,0.12780364062654218,arpack
7,0.13839455358374542,0.7811550288501045,0.21837734889371632,0.2310756,0.3423538793763268,0.1379017344327964,randomized
8,0.09904411962191462,0.5555087375249302,0.27682103532942853,0.19815809,0.6549672977785147,0.0661264405997381,auto
8,0.09904411962191462,0.5555087375249302,0.27682103532942853,0.19815809,0.6549672977785147,0.0678187663564508,full
8,0.09904411454258372,0.5555086962047845,0.2768210449835894,0.19815807,0.6549672977785147,0.08711381523908837,arpack
8,0.0990441143985161,0.5555086966085886,0.2768210368154009,0.19815807,0.6549672977785147,0.06689469178650383,randomized
9,0.1389265918346379,0.8366133699597332,0.2730400996576605,0.12580487,0.6933306257238757,0.08076840184670267,auto
9,0.1389265918346379,0.8366133699597332,0.2730400996576605,0.12580487,0.6933306257238757,0.08229538475096489,full
9,0.13892659555327014,0.8366133589532706,0.2730400693490413,0.12580486,0.6933306257238757,0.08063781501898896,arpack
9,0.13892658913161277,0.8366133646073329,0.27304009122763645,0.12580486,0.6933306257238757,0.08912194468496071,randomized
